Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Renewable hydropower,697190.26,709088.63,720229.03,740451.28,761366.73,784119.28,805482.63,832419.81,861809.91,891627.71,925667.88,953988.93,984665.12,1029572.64,1066302.32,1098583.93,1129092.45,1151137.32,1173623.54,1191742.88,1213171.5,1234382.11,1255454.18
Solar,1225.82,1481.17,1826.33,2354.05,3436.5,4945.05,6499.37,8977.17,15251.24,23591.31,41577.21,73940.66,104227.23,141417.26,180777.27,229066.82,301307.2,396351.51,492575.45,595807.82,728058.14,872403.28,1061632.13
Wind,16964.24,23972.67,30735.01,38670.72,47684.97,58408.32,73161.27,91543.82,115561.01,150139.75,181090.19,220249.47,267349.84,300051.92,349540.63,416421.4,467013.17,515082.31,563864.08,622779.61,733564.57,825663.02,898855.91
Bioenergy,28428.42,31813.78,33345.97,35550.45,38500.79,43680.78,47568.81,51048.22,55097.2,61959.6,66099.38,73098.13,77858.84,84868.33,91095.41,97537.15,106498.12,112091.41,119247.11,125879.34,135539.41,142606.1,150671.3
Geothermal,8272.95,7961.16,8113.4,8188.3,8208.83,8556.06,8758.64,9012.88,9318.76,9754.26,9914.28,10005.43,10517.63,10786.33,11248.68,11846.93,12172.93,12753.57,13204.62,13798.25,14131.55,14406.91,14620.76
Marine,237.75,239.75,242.75,243.75,242.75,240.75,239.75,242.05,245.05,245.26,249.6,502.68,509.41,509.62,513.03,512.34,522.47,526.76,526.86,524.84,523.39,523.07,523.35
