Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Europe,2.0,3.0,1.0,-1.0,-2.0,-1.0,0.0,3.0,-1.0,3.65,-0.97,6.59,0.41,3.34,0.54,10.59,2.95,1.03,-2.52,-2.1,-0.57,0.88,1.4
Eurasia,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,-0.08,0.03,0.0,-0.04,0.0,-19.5,0.0,0.7,0.0
South America,,,,,,,,,,,,,0.0,0.05,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-1.0,0.0,255.0,0.02,0.2,0.0,0.0,0.0,1.0,0.5,0.0,0.0,-0.42
Middle East,,,,,,,,,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,
Central America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,
Oceania,,,,,,,,0.0,0.0,0.0,0.0,0.04,-0.04,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,
