Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,0.0,0.0,1.2,0.0,0.0,0.0,11.5,0.0,0.0,112.5,110.0,86.1,166.4,28.5,212.3,956.2,1321.0,1827.5,1463.0,3116.0,18397.0,4677.8
Europe,9.0,164.0,269.4,85.2,90.0,198.0,199.0,348.2,691.1,809.3,610.46,1472.04,1670.9,1292.0,3020.0,1637.2,3169.45,2925.7,3238.9,2960.8,1470.8,3696.5
North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,29.28,0.0,0.0,0.0,0.0,12.0,0.0
