Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,16.12,16.84,18.36,18.93,20.2,22.34,22.12,31.63,31.05,31.23,33.24,33.24
Albania,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.56,0.68,0.76,0.87,1.05,1.0,1.0,1.0,14.0,21.0,23.0,100.14,240.14
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,28.3,61.1,261.1,354.1,366.1,366.1,366.1,366.1,450.8,450.8
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,2.42,2.42,2.42,3.92,4.27,5.16,4.81,4.81,4.81,4.81,4.81
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.23,0.24,0.49,1.09,1.99,3.08,4.35,4.35,4.35
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.32,0.32,0.33,0.42,0.44,1.37,1.37,1.44,285.46,310.46
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,1.17,1.17,2.27,2.27,1.17,1.54,1.54,1.54,1.54,1.54
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.4,3.4,3.51,4.31,8.71,8.71,12.86,14.86,14.86,15.58
Argentina,0.03,0.11,0.12,0.16,0.21,0.22,0.24,0.24,0.35,2.98,4.9,6.38,12.47,15.52,15.52,15.52,15.52,15.52,197.95,447.24,768.97,1080.23,1116.26,1408.43
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,17.32,21.1,50.5,146.1,235.2,401.7
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,1.0,1.6,4.9,6.1,7.25,7.3,14.8,14.8,14.8,14.8,14.8,14.8
Australia,25.0,29.0,34.0,39.4,46.4,52.4,61.4,73.0,85.0,332.0,1091.0,1421.0,2511.0,3312.0,4137.0,5035.0,5880.0,7242.0,11128.0,15453.0,19772.0,24396.0,28887.0,32612.0
Austria,5.0,7.0,9.0,23.0,27.0,21.02,22.39,24.24,30.12,48.92,88.81,174.07,337.48,625.97,785.25,937.1,1096.02,1268.97,1455.13,1702.09,2042.93,2782.6,3791.7,6831.7
