Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,8.17,8.98,7.71,9.22,11.3,11.91,14.38,15.28,18.16,20.85,25.44,29.98,30.99,33.19,35.59,38.86,39.4,39.8,40.62,41.38,45.26,46.67,47.24,49.99
Europe,75.18,72.6,75.8,72.81,72.01,69.58,65.51,61.56,55.44,50.5,46.9,43.01,40.1,39.4,37.26,34.34,33.33,33.13,32.25,31.49,28.34,26.87,26.61,25.12
North America,14.66,16.75,14.96,16.4,14.52,16.08,17.57,20.17,23.45,25.32,24.21,23.46,25.24,23.38,21.95,20.95,20.87,20.25,19.81,19.85,18.98,18.71,18.21,16.94
South America,0.17,0.11,0.09,0.07,0.1,0.07,0.35,0.32,0.39,0.55,0.64,0.77,0.87,0.94,1.87,2.38,2.77,3.05,3.39,3.32,3.3,3.61,3.72,3.92
Eurasia,0.13,0.09,0.08,0.07,0.06,0.06,0.1,0.17,0.33,0.54,0.74,0.79,0.85,0.93,1.04,1.09,1.24,1.28,1.27,1.25,1.35,1.53,1.52,1.41
Oceania,0.43,0.49,0.54,0.71,1.19,1.59,1.39,1.76,1.57,1.51,1.36,1.27,1.21,1.3,1.3,1.21,1.16,1.19,1.27,1.39,1.49,1.4,1.44,1.38
Africa,0.82,0.58,0.47,0.4,0.5,0.41,0.45,0.51,0.48,0.49,0.48,0.45,0.42,0.58,0.69,0.8,0.82,0.89,0.97,0.89,0.89,0.84,0.86,0.85
Central America and the Caribbean,0.36,0.35,0.28,0.26,0.25,0.21,0.17,0.15,0.12,0.18,0.18,0.21,0.28,0.25,0.27,0.3,0.32,0.31,0.31,0.31,0.27,0.24,0.23,0.21
Middle East,0.07,0.05,0.06,0.06,0.07,0.08,0.08,0.08,0.06,0.07,0.06,0.05,0.04,0.04,0.05,0.07,0.09,0.1,0.11,0.13,0.13,0.13,0.17,0.18
