Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Comoros (the),,,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,6.5,13.4,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,0.0,45.51,24.65,8.0,0.0,107.88,88.95,23.81,-13.57,42.94,90.7,56.47,24.95,108.9,101.2,392.74,0.0,44.57,-29.53,-11.88,47.6,-48.34,41.37
Croatia,0.0,-13.0,8.0,7.0,-6.0,0.0,-2.0,0.0,17.0,49.0,0.0,0.0,49.0,1.8,15.0,-3.0,0.8,12.5,0.2,-0.2,1.0,5.3,0.0
Cuba,0.0,0.0,0.0,1.1,-10.3,0.0,-7.3,19.2,-2.2,4.6,2.5,-2.9,0.7,0.0,0.0,3.1,0.0,-1.9,1.9,0.6,0.0,0.1,0.0
Czechia,48.0,0.0,4.0,11.0,5.0,-4.0,8.0,5.0,8.0,12.0,1.0,15.0,15.0,0.0,8.0,2.0,2.7,-0.18,1.19,0.22,19.43,0.22,1.1
Côte d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,15.0,0.0,5.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.8,158.0,9.9,0.0,0.0,324.75,240.0
Democratic People's Republic of Korea (the),200.0,20.0,0.0,0.0,0.0,0.0,130.0,-455.0,-569.0,40.0,2.0,300.0,23.0,10.0,174.0,234.0,60.0,29.0,0.0,75.0,0.0,25.0,0.0
Denmark,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.2,0.06,0.0,-0.53,-0.11,-1.74,2.39,-2.12,0.0,0.01,0.0,-0.04,-0.48,0.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.84,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,10.5,60.1,0.41,0.0,-74.29,0.9,0.0,3.02,51.03,0.02,0.19,60.07,0.27,9.29,20.28,0.02,0.13,2.08,9.34,0.02,0.0,-1.03,0.0
Ecuador,23.2,7.99,0.12,-0.1,17.7,37.19,256.36,-0.75,2.92,183.16,-8.0,29.48,0.0,-15.8,159.52,2038.75,69.6,550.44,10.0,21.35,1.0,92.55,1.0
Egypt,0.0,0.0,0.8,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
El Salvador,1.12,15.0,19.65,0.0,18.9,11.73,11.1,2.02,0.0,0.8,0.0,0.16,0.7,2.75,7.27,-2.14,79.25,0.75,0.55,-0.94,-1.94,0.0,0.0
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,-1.0,-1.0,3.0,0.0,-3.0,1.0,0.0,1.3,0.0,-1.3,2.0,-2.0,2.0,0.0
Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,72.0,0.0,34.0,210.0,0.0,0.0,0.0,0.0,720.0,460.01,97.12,0.0,0.0,0.0,187.0,0.0,1658.6,0.0,0.0,254.0,0.0,750.0,61.3
Faroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Fiji,0.0,0.03,0.0,6.8,-0.01,2.8,0.0,0.0,0.0,0.0,0.03,44.0,-0.89,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Finland,44.0,38.0,2.0,33.0,36.0,27.0,40.0,-96.0,23.0,10.0,41.0,0.0,28.0,24.0,1.0,0.0,23.0,-4.0,5.0,7.0,7.0,0.0,6.0
France,28.0,101.0,152.0,-115.0,-4.0,12.0,12.0,90.0,87.0,147.0,215.73,15.23,-7.99,12.44,24.13,70.79,74.98,19.13,66.01,220.68,23.09,-26.5,0.0
French Guiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.02,0.0,0.0,0.55,0.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0.0,0.0,0.0,0.0,0.0,24.0,119.27,9.25,4.9,-120.16,0.0,47.0,18.0,137.0,2.0,358.0,-47.0,107.0,80.0,23.0,31.0,22.0,70.0
Germany,15.0,92.0,-105.0,121.0,-75.0,-17.0,-34.0,21.0,179.0,-31.0,217.0,-18.0,-18.0,-9.0,9.0,9.0,7.0,-249.0,49.0,71.0,36.0,131.0,120.0
Ghana,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,4.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
Greece,4.0,2.0,1.0,20.0,7.0,28.0,16.0,26.0,25.0,14.0,9.0,12.0,2.0,151.0,3.0,0.0,0.0,17.0,3.0,5.0,4.0,0.0,6.0
Greenland,0.0,0.0,0.0,1.2,0.0,0.0,7.6,15.0,0.0,15.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadeloupe,0.0,0.7,0.07,0.27,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0
