Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Renewable hydropower,92.67,91.55,90.65,89.7,88.59,87.13,85.53,83.81,81.51,78.4,75.59,71.63,68.14,65.69,62.74,59.26,55.99,52.61,49.67,46.73,42.94,39.95,37.12
Solar,0.16,0.19,0.23,0.29,0.4,0.55,0.69,0.9,1.44,2.07,3.4,5.55,7.21,9.02,10.64,12.36,14.94,18.12,20.84,23.36,25.77,28.23,31.39
Wind,2.25,3.1,3.87,4.68,5.55,6.49,7.77,9.22,10.93,13.2,14.79,16.54,18.5,19.15,20.57,22.46,23.16,23.54,23.86,24.42,25.97,26.72,26.58
Bioenergy,3.78,4.11,4.2,4.31,4.48,4.85,5.05,5.14,5.21,5.45,5.4,5.49,5.39,5.42,5.36,5.26,5.28,5.12,5.05,4.94,4.8,4.62,4.46
Geothermal,1.1,1.03,1.02,0.99,0.96,0.95,0.93,0.91,0.88,0.86,0.81,0.75,0.73,0.69,0.66,0.64,0.6,0.58,0.56,0.54,0.5,0.47,0.43
Marine,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02
