Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,191.5,191.5,191.51,191.62,191.72,192.6,195.65,196.46,207.7,212.9,241.45,244.92,289.47,293.64,298.61,302.63,349.34,371.73,371.51,381.02,380.45,388.23,492.78,492.78
Albania,1453.0,1453.1,1453.2,1453.2,1453.2,1453.2,1453.2,1455.2,1457.2,1459.3,1475.4,1508.56,1628.68,1781.76,1725.87,1799.05,1914.0,2049.43,2107.43,2177.43,2409.43,2531.43,2594.57,2734.57
Algeria,276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,252.6,252.6,252.6,252.6,266.1,298.9,498.9,592.3,604.1,604.1,584.7,505.0,589.7,589.7
American Samoa,,,,,,,,,,,,,2.42,2.42,2.42,2.42,3.92,4.27,5.16,4.81,4.81,4.81,4.81,4.81
Andorra,30.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,51.0,51.0,51.0,51.0,51.0,51.0,51.19,51.23,51.24,51.49,52.09,52.99,54.08,55.35,55.35,55.35
Angola,235.58,235.58,235.58,235.58,495.58,495.58,495.58,755.58,787.58,787.58,787.58,787.58,873.18,953.2,1020.5,1020.5,1751.77,2444.7,3112.72,3447.65,3781.65,3781.72,4065.74,4090.74
Anguilla,,,,,,,,,,,,,0.06,0.06,1.17,1.17,2.27,2.27,1.17,1.54,1.54,1.54,1.54,1.54
Antigua and Barbuda,,,,,,,,,,0.1,0.1,0.3,0.3,0.4,0.4,3.4,3.51,4.31,8.71,8.71,12.86,14.86,14.86,15.58
Argentina,8738.95,8756.45,8921.96,8969.56,9085.33,9113.6,9118.97,9381.32,9387.35,9765.5,9778.9,10316.91,10470.45,10528.85,10532.34,10562.86,10624.89,10745.0,11511.73,12664.28,14101.69,15113.78,15184.66,15886.46
Armenia,1024.2,1012.5,1165.5,1169.8,1023.7,1029.34,1058.54,1068.94,1083.34,1097.84,1127.14,1152.24,1253.14,1291.64,1300.74,1289.3,1315.53,1332.13,1356.65,1364.03,1403.43,1494.23,1583.32,1762.4
Aruba,,,,,,,,,,30.0,30.1,30.3,31.0,31.6,36.9,38.1,39.25,39.3,44.8,44.8,44.8,44.8,44.8,44.8
