Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,22.81,23.59,23.67,24.52,25.4,26.15,27.17,28.05,29.53,30.74,31.65,32.59,33.16,35.34,37.28,39.01,40.39,42.16,43.47,44.21,46.21,47.26,48.09,50.68
Europe,25.36,25.37,25.63,25.6,25.72,25.97,25.97,25.87,25.83,25.98,26.28,27.11,27.35,26.74,25.88,25.09,24.23,23.46,22.75,22.54,21.58,21.09,21.07,20.33
North America,22.85,22.45,22.31,21.79,21.05,20.53,20.18,19.96,19.68,19.41,19.0,18.3,18.26,17.45,16.9,16.67,16.51,15.97,15.54,15.33,15.02,14.95,14.58,13.69
South America,14.99,14.82,14.7,14.53,14.45,14.14,13.88,13.62,13.05,12.39,11.99,11.42,10.8,10.28,10.01,9.64,9.6,9.27,9.04,8.77,8.25,8.0,7.85,7.47
Eurasia,8.04,7.93,7.84,7.64,7.37,7.11,6.86,6.64,6.33,6.01,5.73,5.4,5.32,5.18,4.98,4.78,4.56,4.42,4.26,4.09,3.91,3.75,3.51,3.16
Oceania,1.79,1.77,1.75,1.7,1.69,1.74,1.68,1.66,1.59,1.54,1.52,1.54,1.54,1.52,1.49,1.43,1.36,1.34,1.47,1.61,1.7,1.74,1.72,1.65
Africa,2.91,2.84,2.81,2.75,2.65,2.55,2.43,2.34,2.25,2.27,2.2,2.06,1.96,1.95,1.91,1.88,1.86,1.96,2.04,1.98,1.91,1.8,1.75,1.6
Middle East,0.6,0.58,0.62,0.78,0.98,1.06,1.11,1.14,1.06,1.0,0.99,0.94,0.94,0.93,0.94,0.86,0.83,0.78,0.79,0.84,0.83,0.84,0.9,0.92
Central America and the Caribbean,0.66,0.65,0.68,0.69,0.68,0.74,0.71,0.71,0.68,0.65,0.63,0.64,0.65,0.61,0.6,0.65,0.66,0.65,0.64,0.64,0.6,0.57,0.54,0.49
