Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,
Australia,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Austria,,,2.0,2.0,2.0,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.25,0.25,0.25
Canada,,,,,,,,,,,,,,,,,,,,,,,,6.0
Chile,,,,,,,,,,,,,,,,,,24.0,,39.7,39.7,39.7,51.4,83.37
China,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,24.75,24.75,24.05,26.15,26.15,25.95,25.95,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75
Chinese Taipei,,,,,,,,,,,,,,,,,,,0.03,0.3,0.3,4.5,5.4,7.29
Costa Rica,144.71,144.71,144.71,162.71,165.71,165.71,165.71,165.71,165.71,165.71,165.71,217.46,217.46,217.46,217.46,217.36,206.86,206.86,206.86,261.86,261.86,258.84,262.66,262.66
Croatia,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0
El Salvador,161.24,161.24,161.24,161.24,151.24,151.24,151.24,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,204.44,229.44
Ethiopia,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
France,,,,,,,,,,,,14.9,13.5,15.0,15.0,14.75,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15
Germany,,,,,0.2,0.2,0.2,3.0,3.0,6.0,7.0,6.0,16.0,26.0,29.0,29.0,33.0,32.0,35.0,40.0,40.0,46.0,50.0,50.0
Guadeloupe,4.0,4.0,4.0,4.0,4.0,14.5,14.5,14.5,14.5,14.5,14.5,14.5,13.5,13.5,11.5,14.5,15.0,15.0,14.7,14.5,14.5,14.5,14.5,14.5
Guatemala,29.0,24.0,24.0,24.0,26.5,24.0,24.0,42.02,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,52.0,49.2,49.2,49.2,49.2
Honduras,,,,,,,,,,,,,,,,,,35.0,35.0,35.0,39.0,39.0,39.0,39.0
Hungary,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Iceland,172.0,202.0,202.0,202.0,202.0,232.0,422.0,485.0,575.0,575.0,575.0,665.0,665.0,665.0,665.0,665.0,665.0,709.96,755.56,755.56,756.16,756.21,756.21,756.21
Indonesia,525.0,785.0,785.0,805.0,820.0,850.0,850.0,980.0,1052.0,1189.0,1189.0,1226.0,1336.0,1343.5,1403.5,1438.3,1533.3,1808.3,1948.3,2130.7,2130.7,2286.05,2360.33,2597.51
Italy,590.0,573.0,666.0,707.0,642.0,671.0,671.0,671.0,671.0,695.0,728.0,728.0,728.0,729.0,768.0,768.0,767.0,767.19,767.19,767.19,771.79,771.79,771.79,771.79
Japan,533.0,533.0,533.0,535.0,535.0,535.0,532.0,532.0,532.0,535.0,537.0,537.0,512.0,512.0,508.0,516.0,526.0,471.0,473.0,481.0,487.0,487.0,437.0,428.0
Kenya,58.0,58.0,58.0,58.0,128.0,128.0,128.0,128.0,128.0,163.0,198.0,198.0,205.5,205.5,366.1,618.9,652.9,672.9,683.8,683.8,863.1,863.1,949.1,984.1
Mexico,843.0,843.0,853.0,953.0,953.0,953.0,953.0,958.0,958.0,958.0,883.0,808.0,833.0,858.0,868.0,898.0,923.5,948.5,948.5,973.5,973.5,998.5,998.5,998.5
New Zealand,418.0,417.0,372.0,382.0,382.0,437.0,437.0,456.0,578.0,617.0,742.0,742.0,768.0,840.0,966.0,990.0,985.0,985.0,1009.0,1009.0,1043.0,1043.0,1050.0,1050.0
Nicaragua,70.0,70.0,77.5,77.5,77.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,164.5,154.5,154.5,154.5,154.5,154.5,154.5,153.24,153.24,153.24,165.44,165.44
Papua New Guinea,,,,6.0,6.0,36.0,36.0,56.0,56.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Philippines,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1846.7,1916.1,1916.1,1916.1,1916.1,1928.1,1928.1,1928.1,1928.1,1932.0,1951.8
Portugal,14.0,14.0,14.0,14.0,14.0,14.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,29.1,29.1,29.1,29.1,29.1,29.1,29.1
Romania,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Russia,23.0,21.0,70.0,70.0,56.0,79.0,87.0,90.0,80.0,81.0,81.0,81.0,81.0,79.0,78.0,78.0,78.0,74.0,74.0,81.4,74.0,74.0,74.0,74.0
Thailand,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Türkiye,18.0,18.0,18.0,15.0,15.0,15.0,23.0,23.0,30.0,77.0,94.0,114.0,162.0,311.0,405.0,624.0,821.0,1063.7,1282.52,1514.69,1613.19,1676.17,1691.34,1691.34
United States,2793.0,2216.21,2252.25,2133.25,2152.08,2285.3,2273.98,2214.2,2228.8,2381.9,2404.6,2409.2,2592.1,2607.0,2514.3,2541.5,2516.6,2483.3,2444.3,2555.4,2571.9,2596.7,2648.6,2673.6
