Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,23.18,24.16,24.37,25.44,26.49,27.56,28.7,29.86,31.71,33.3,34.42,35.53,36.53,38.42,39.66,40.24,40.25,40.52,40.78,41.05,41.53,42.3,42.78,42.91
Europe,24.19,23.78,23.49,22.95,22.5,22.11,21.58,21.09,20.52,19.94,19.37,18.99,18.52,17.81,17.2,16.92,16.75,16.6,16.38,16.2,16.05,15.82,15.63,15.53
North America,22.42,21.93,21.95,21.42,20.86,20.4,20.02,19.56,18.99,18.45,18.27,17.77,17.23,16.52,16.05,15.92,15.63,15.39,15.17,14.96,14.73,14.61,14.54,14.46
South America,15.74,15.75,15.78,15.77,15.82,15.72,15.66,15.62,15.26,14.92,14.71,14.64,14.39,13.97,13.92,13.88,14.42,14.48,14.64,14.82,14.62,14.35,14.19,14.19
Eurasia,8.48,8.46,8.45,8.32,8.13,7.97,7.83,7.72,7.55,7.4,7.27,7.2,7.42,7.45,7.4,7.4,7.3,7.24,7.2,7.16,7.27,7.18,7.05,6.98
Africa,2.99,2.96,2.94,2.92,2.83,2.75,2.67,2.61,2.56,2.67,2.66,2.6,2.58,2.59,2.5,2.48,2.49,2.69,2.75,2.77,2.79,2.78,2.86,2.92
Middle East,0.65,0.63,0.67,0.86,1.1,1.21,1.29,1.35,1.29,1.25,1.29,1.28,1.34,1.33,1.39,1.31,1.29,1.24,1.23,1.21,1.19,1.17,1.18,1.18
Oceania,1.78,1.76,1.74,1.7,1.66,1.69,1.65,1.59,1.54,1.49,1.43,1.4,1.36,1.3,1.26,1.22,1.19,1.17,1.17,1.15,1.13,1.11,1.11,1.16
Central America and the Caribbean,0.58,0.58,0.6,0.62,0.61,0.59,0.6,0.6,0.59,0.57,0.57,0.6,0.63,0.61,0.61,0.63,0.67,0.67,0.68,0.68,0.68,0.67,0.66,0.66
