Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Australia,0.0,0.0,-0.1,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,,,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.0,0.0
Canada,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.7,31.97
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,-0.7,2.1,0.0,-0.2,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chinese Taipei,,,,,,,,,,,,,,,,,,,0.27,0.0,4.2,0.9,1.89
Costa Rica,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,51.75,0.0,0.0,0.0,-0.1,-10.5,0.0,0.0,55.0,0.0,-3.02,3.82,0.0
Croatia,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
El Salvador,0.0,0.0,0.0,-10.0,0.0,0.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,,,,,,,,,,,,-1.4,1.5,0.0,-0.25,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,,,,,0.0,0.0,2.8,0.0,3.0,1.0,-1.0,10.0,10.0,3.0,0.0,4.0,-1.0,3.0,5.0,0.0,6.0,4.0,0.0
Guadeloupe,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,3.0,0.5,0.0,-0.3,-0.2,0.0,0.0,0.0,0.0
Guatemala,-5.0,0.0,0.0,2.5,-2.5,0.0,18.02,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,-2.8,0.0,0.0,0.0
Honduras,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,0.0,0.0
Hungary,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,30.0,0.0,0.0,0.0,30.0,190.0,63.0,90.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,44.96,45.6,0.0,0.6,0.05,0.0,0.0
Indonesia,260.0,0.0,20.0,15.0,30.0,0.0,130.0,72.0,137.0,0.0,37.0,110.0,7.5,60.0,34.8,95.0,275.0,140.0,182.4,0.0,155.35,74.28,237.18
Italy,-17.0,93.0,41.0,-65.0,29.0,0.0,0.0,0.0,24.0,33.0,0.0,0.0,1.0,39.0,0.0,-1.0,0.19,0.0,0.0,4.6,0.0,0.0,0.0
Japan,0.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,3.0,2.0,0.0,-25.0,0.0,-4.0,8.0,10.0,-55.0,2.0,8.0,6.0,0.0,-50.0,-9.0
Kenya,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,7.5,0.0,160.6,252.8,34.0,20.0,10.9,0.0,179.3,0.0,86.0,35.0
Mexico,0.0,10.0,100.0,0.0,0.0,0.0,5.0,0.0,0.0,-75.0,-75.0,25.0,25.0,10.0,30.0,25.5,25.0,0.0,25.0,0.0,25.0,0.0,0.0
New Zealand,-1.0,-45.0,10.0,0.0,55.0,0.0,19.0,122.0,39.0,125.0,0.0,26.0,72.0,126.0,24.0,-5.0,0.0,24.0,0.0,34.0,0.0,7.0,0.0
Nicaragua,0.0,7.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,-10.0,0.0,0.0,0.0,0.0,0.0,-1.26,0.0,0.0,12.2,0.0
Papua New Guinea,,,,0.0,30.0,0.0,20.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.9,19.8
Portugal,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
Romania,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,-2.0,49.0,0.0,-14.0,23.0,8.0,3.0,-10.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-4.0,0.0,7.4,-7.4,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Türkiye,0.0,0.0,-3.0,0.0,0.0,8.0,0.0,7.0,47.0,17.0,20.0,48.0,149.0,94.0,219.0,197.0,242.7,218.82,232.17,98.5,62.98,15.17,0.0
United States,-576.79,36.04,-119.0,18.83,133.22,-11.32,-59.78,14.6,153.1,22.7,4.6,182.9,14.9,-92.7,27.2,-24.9,-33.3,-39.0,111.1,16.5,24.8,51.9,25.0
