Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,5151.84,5343.36,5973.06,6280.83,6745.85,7551.08,8973.87,10295.48,11541.51,14002.16,13829.17,15283.74,15742.09,17997.67,20720.63,23521.77,29853.65,33181.3,37031.81,41942.55,48670.39,54607.93,58729.4,62067.7
Europe,8151.53,9067.23,9619.47,11357.08,12922.33,16187.33,18210.37,18508.42,20007.48,23167.64,25283.7,28761.71,30296.56,31620.93,33296.93,34725.3,35730.0,37169.57,40038.31,41347.62,41864.71,41600.9,42457.94,42824.53
South America,2964.26,2968.38,2993.93,3065.21,3624.84,3896.28,4286.68,4885.88,5926.29,7005.29,9384.95,10524.81,11754.64,14073.26,14545.05,15225.63,16113.26,16593.84,16891.61,17483.06,17858.55,18621.9,19551.51,20348.0
North America,8834.9,10591.14,10742.76,11009.01,11165.7,11207.97,11509.11,12264.75,12397.42,12494.77,12781.36,12965.19,13882.08,15218.43,15679.07,16325.72,16444.54,16496.34,16279.3,15609.11,15453.98,14906.27,14684.15,14576.06
Eurasia,1317.43,1358.73,1335.73,1343.83,1358.5,1347.83,1352.83,1350.83,1355.85,1337.45,1316.45,1297.45,1340.45,1406.15,1628.0,1679.05,1767.05,1887.35,2005.04,2201.09,2515.03,3000.17,3278.27,3411.27
Central America and the Caribbean,1182.73,1270.63,1052.31,1174.91,1088.81,1399.51,1188.93,1335.43,1363.49,1393.19,1389.36,1469.54,1566.37,1591.71,1754.79,2047.99,2276.11,2438.42,2601.21,2528.88,2654.74,2495.24,2460.75,2492.75
Africa,809.98,840.88,862.88,870.88,879.88,963.13,895.5,910.35,954.97,1007.28,1035.92,1118.46,1214.21,1286.8,1379.37,1460.29,1522.69,1639.06,1793.16,1804.66,1819.42,1917.16,1916.0,1899.0
Oceania,547.45,700.49,740.79,792.79,862.6,936.6,1013.9,1030.9,986.94,1021.02,1026.02,1031.73,1034.64,1026.55,1037.81,1043.77,1078.77,1094.77,1094.77,1094.77,1096.52,1104.22,1104.22,1105.58
Middle East,7.71,7.71,7.71,7.71,7.71,7.71,10.21,12.33,12.33,19.09,27.05,46.05,48.05,53.05,59.79,80.54,87.54,87.88,85.88,85.88,83.63,84.5,103.4,115.2
