Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,1.62,1.6,1.58,1.58,1.58,1.6,1.6,1.59,1.57,1.97,2.22,51.58,50.9,50.88,50.55,50.63,49.6,49.23,49.23,49.56,49.81,49.86,49.67,49.5
Europe,89.82,89.91,90.03,90.07,90.03,89.95,89.91,89.05,89.19,88.79,88.7,43.91,44.62,44.63,44.99,44.94,46.05,46.45,46.65,46.3,46.04,45.98,46.05,45.89
North America,8.39,8.32,8.22,8.19,8.22,8.29,8.32,8.25,8.14,8.14,8.0,3.97,3.92,3.94,3.91,3.9,3.83,3.8,3.79,3.8,3.81,3.82,3.94,4.06
Eurasia,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.7,0.69,0.69,0.68,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.51
Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.41,0.4,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0
