Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Namibia,62.24,62.25,62.27,62.27,62.29,62.34,62.34,62.34,62.34,60.77,60.8,57.45,64.98,65.03,61.53,61.85,66.91,69.34,70.77,73.03,73.21,73.21,74.16,74.16
Croatia,55.27,55.27,52.45,52.86,53.02,53.64,53.78,53.59,53.62,53.36,54.04,54.65,55.45,57.61,58.51,56.91,57.62,58.66,59.51,65.12,69.81,71.62,72.07,72.51
Guatemala,44.15,44.89,47.84,45.28,45.83,48.98,54.05,53.47,53.19,51.39,53.45,53.13,55.22,55.52,57.7,58.4,61.76,65.91,69.53,69.75,69.69,70.65,70.69,70.73
Denmark,21.46,22.5,26.18,28.21,29.49,30.25,29.38,28.04,30.41,33.11,36.58,37.71,42.27,47.68,49.54,50.77,52.09,57.23,59.38,61.32,63.78,67.16,69.14,70.57
Canada,61.82,61.07,61.76,61.41,62.24,61.03,61.8,62.05,62.66,62.2,63.01,64.29,65.17,65.49,66.37,67.16,67.36,67.77,68.32,68.36,68.05,68.38,69.8,69.83
Colombia,64.71,65.71,67.07,66.74,66.4,66.83,67.31,66.97,66.7,66.65,68.26,67.64,68.07,68.08,70.51,70.0,70.04,70.19,68.72,68.56,68.86,67.87,68.58,69.54
Latvia,72.42,72.67,72.76,72.82,72.83,72.58,73.05,73.7,73.04,62.95,63.43,63.72,63.95,60.55,60.84,60.8,60.73,61.07,61.36,62.15,62.03,62.02,63.87,67.73
Panama,50.05,49.64,49.7,54.52,53.74,56.18,57.0,57.75,54.77,50.83,48.61,56.16,61.55,61.96,59.53,66.15,62.32,62.19,58.8,59.69,56.37,65.12,67.62,66.71
Guinea,38.14,38.14,38.14,38.14,38.14,38.14,38.14,37.25,40.17,39.67,50.84,62.42,60.06,38.05,38.05,61.05,62.05,60.34,60.74,62.52,61.63,65.96,65.99,65.99
Afghanistan,86.56,86.56,86.56,83.8,78.66,78.74,79.0,79.07,78.14,62.07,58.78,51.47,55.1,55.37,55.79,56.12,59.61,61.1,61.09,57.93,57.9,58.39,64.04,64.04
Chile,45.76,43.94,43.55,42.01,45.98,44.45,44.37,42.65,42.08,40.14,38.91,38.81,39.9,40.68,42.76,42.6,41.62,44.64,47.07,47.93,51.94,54.48,59.15,63.89
Honduras,47.53,47.4,46.1,52.53,44.35,37.25,36.26,37.82,37.31,37.71,38.28,42.01,43.51,44.29,48.21,59.5,59.92,61.31,61.88,62.83,64.54,64.73,63.73,63.55
Angola,61.16,54.38,54.38,54.38,71.29,71.29,71.18,76.62,77.19,77.19,66.95,59.15,51.22,44.18,43.63,42.57,55.85,51.13,57.12,59.39,61.6,61.6,63.3,63.44
