Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
South America,69.25,69.14,68.07,67.59,67.14,67.78,67.99,67.97,67.16,66.18,65.07,64.84,64.06,62.33,63.04,64.37,65.17,65.64,66.71,67.4,67.64,68.42,70.03,71.4
Europe,23.17,23.59,24.13,24.89,25.28,26.37,27.04,27.79,28.77,30.21,31.51,34.05,36.3,38.09,39.3,41.29,42.94,44.48,45.48,47.9,49.83,51.86,54.43,56.93
Oceania,24.1,24.2,23.36,23.15,23.67,25.66,25.71,25.38,25.52,25.44,25.51,27.03,28.71,30.2,31.2,30.36,31.93,34.34,38.05,42.16,45.48,48.05,49.61,52.6
Asia,17.53,18.2,18.06,18.46,18.64,18.61,18.36,18.47,19.44,20.33,20.96,21.71,22.51,24.22,25.77,27.19,28.63,30.37,31.68,33.08,35.7,37.66,39.72,43.48
Central America and the Caribbean,21.86,20.89,21.99,22.07,22.46,24.57,24.16,24.34,23.94,23.69,24.07,25.34,26.97,26.85,28.01,30.9,33.08,34.53,35.28,36.41,36.58,37.99,38.36,39.36
North America,16.99,17.31,16.62,16.1,15.97,16.0,16.28,16.79,17.37,18.11,18.83,19.47,20.83,21.61,22.45,24.02,25.46,26.39,27.18,28.61,30.49,32.41,34.12,35.73
Eurasia,23.93,23.96,23.95,23.77,23.73,23.6,23.43,23.63,23.79,23.97,24.41,24.74,25.22,25.39,24.56,25.99,25.52,26.19,26.98,27.46,28.72,29.66,30.12,30.79
Africa,22.43,22.05,22.08,21.56,21.3,20.46,19.91,19.21,18.92,19.45,19.18,18.85,18.73,19.08,19.37,19.87,19.87,20.92,21.37,21.65,22.35,22.65,23.64,24.27
Middle East,4.16,4.01,4.18,4.53,6.27,6.67,6.84,6.97,6.34,5.93,5.79,5.59,5.81,5.68,5.94,5.64,5.72,5.73,6.19,6.88,7.22,7.78,8.9,9.86
