Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,171375.69,182479.63,187871.32,202256.23,217897.88,235165.5,255656.97,278293.37,311830.97,349174.98,387295.18,433536.29,478802.46,553557.66,632892.7,722529.43,813769.51,922091.14,1027281.23,1127082.49,1306891.36,1461091.4,1636557.75
Europe,190726.41,196372.4,203556.27,211193.49,221039.33,233722.69,244588.64,256828.02,272944.6,295432.18,321940.58,360972.6,395172.19,419064.4,439999.48,465126.3,488669.94,512991.87,537480.37,574837.5,609271.63,651882.4,705851.19
North America,171878.9,173790.0,177197.36,179774.13,180945.72,184762.13,190051.56,198175.25,208009.92,220635.72,232768.77,243676.77,263899.93,273462.84,287273.31,309129.41,332861.47,349300.28,367132.71,391073.65,423779.51,461145.34,490596.25
South America,112902.28,115113.03,117083.75,120248.08,124579.11,127517.75,130942.04,135754.18,138491.61,141421.35,146838.94,152588.11,156400.45,161151.67,170689.2,179723.94,194775.82,203792.19,214304.55,224472.67,233111.28,247585.8,265819.78
Eurasia,60511.87,61405.67,62279.97,63075.77,63377.84,63974.31,64612.01,65908.58,66899.65,68311.65,70258.42,72054.23,76997.65,81301.15,84321.54,88118.07,91182.48,96185.84,100193.72,103560.9,109866.94,115453.89,118878.16
Africa,22058.39,22199.22,22469.4,22865.88,22862.04,22980.16,22979.15,23347.13,23798.77,25903.48,27029.27,27467.57,28433.0,30697.23,32633.42,34953.48,37702.8,43052.83,48386.01,50555.13,53899.49,56122.89,58795.96
Oceania,13460.76,13730.03,13884.48,14063.86,14517.65,15653.24,15828.1,16503.46,16822.38,17552.03,18632.68,20451.77,22314.12,23831.49,25352.22,26509.32,27465.5,29223.14,34618.03,40953.04,48064.83,53645.29,57718.22
Middle East,4518.08,4518.08,4886.08,6422.08,8451.62,9548.12,10452.56,11346.22,11240.04,11350.93,12132.6,12537.57,13650.13,14497.98,15961.23,15858.08,16718.35,17072.72,18577.09,21641.9,23223.99,25574.75,29433.73
Central America and the Caribbean,4887.06,4949.09,5263.87,5559.03,5769.38,6626.34,6599.44,7087.75,7245.23,7535.58,7702.11,8500.39,9458.14,9641.69,10354.23,12020.54,13460.48,14232.87,15067.96,16355.45,16879.52,17482.71,18106.58
