Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,17.78,16.62,17.92,17.49,17.45,17.36,18.92,20.35,21.16,22.79,20.93,21.08,20.48,21.36,23.0,24.47,28.47,30.0,31.43,33.8,36.87,39.47,40.7,41.7
Europe,28.14,28.2,28.86,31.63,33.43,37.21,38.38,36.58,36.68,37.7,38.27,39.67,39.41,37.52,36.95,36.13,34.07,33.61,33.98,33.32,31.71,30.07,29.43,28.77
South America,10.23,9.23,8.98,8.54,9.38,8.96,9.04,9.66,10.86,11.4,14.2,14.52,15.29,16.7,16.14,15.84,15.36,15.01,14.34,14.09,13.53,13.46,13.55,13.67
North America,30.5,32.94,32.23,30.66,28.88,25.77,24.26,24.24,22.73,20.33,19.34,17.88,18.06,18.06,17.4,16.99,15.68,14.92,13.82,12.58,11.71,10.78,10.18,9.79
Eurasia,4.55,4.23,4.01,3.74,3.51,3.1,2.85,2.67,2.49,2.18,1.99,1.79,1.74,1.67,1.81,1.75,1.68,1.71,1.7,1.77,1.91,2.17,2.27,2.29
Central America and the Caribbean,4.08,3.95,3.16,3.27,2.82,3.22,2.51,2.64,2.5,2.27,2.1,2.03,2.04,1.89,1.95,2.13,2.17,2.2,2.21,2.04,2.01,1.8,1.71,1.67
Africa,2.8,2.62,2.59,2.43,2.28,2.21,1.89,1.8,1.75,1.64,1.57,1.54,1.58,1.53,1.53,1.52,1.45,1.48,1.52,1.45,1.38,1.39,1.33,1.28
Oceania,1.89,2.18,2.22,2.21,2.23,2.15,2.14,2.04,1.81,1.66,1.55,1.42,1.35,1.22,1.15,1.09,1.03,0.99,0.93,0.88,0.83,0.8,0.77,0.74
Middle East,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.06,0.06,0.06,0.07,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.07,0.08
