Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,0.46,0.49,0.48,0.41,0.35,0.32,0.27,0.19,0.16,0.14,0.13,0.16,0.26,0.34,0.4,0.47,0.54,0.57,0.57,0.57,0.57,0.57
Europe,0.27,0.27,0.32,0.44,0.51,0.54,0.59,0.71,0.74,0.75,0.74,0.7,0.6,0.5,0.43,0.35,0.28,0.25,0.24,0.22,0.22,0.22
North America,0.22,0.2,0.16,0.13,0.12,0.12,0.12,0.08,0.08,0.08,0.08,0.09,0.09,0.1,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12
South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03
Oceania,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Eurasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01
Africa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
