Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,161415.22,171134.27,175402.28,188308.69,201344.18,215914.82,230998.36,248375.0,273021.96,296592.82,318298.23,338680.17,359483.86,395213.84,422419.57,441771.76,454274.5,466569.5,478953.64,489064.12,504640.62,522806.75,538692.96
Europe,168630.87,168605.88,169159.69,169914.69,171382.07,173400.45,173846.61,175527.2,176869.1,177820.58,179321.82,181109.32,182374.61,183396.37,183677.15,186049.01,189295.71,191107.58,192249.05,193175.52,194699.58,195808.98,196590.08
North America,156272.0,155480.98,158064.2,158579.35,158924.94,159971.12,161313.21,162781.3,163647.0,164555.5,169176.2,169487.7,169642.2,170068.2,171349.5,175040.5,176622.05,177168.62,177838.87,178403.01,178445.75,179763.08,180620.51
South America,109757.23,111692.54,113680.4,116798.28,120534.51,123281.25,126155.93,130029.06,131498.53,133044.82,136224.17,139672.79,141716.1,143956.74,148600.58,152689.06,163082.07,166748.06,171763.4,176770.11,177138.4,177383.63,178959.59
Eurasia,59130.94,59985.24,60829.24,61617.54,61918.44,62496.44,63074.64,64281.31,65051.66,66003.06,67424.62,68808.72,73124.07,76707.0,78515.1,80894.7,81777.6,82915.07,84032.09,84645.97,87595.24,88351.16,88563.26
Africa,21038.65,21165.91,21406.82,21783.7,21615.76,21643.71,21614.81,21815.7,22124.81,23914.13,24723.13,24861.47,25532.9,26791.11,26814.75,27342.7,28267.72,31025.48,32388.75,33093.82,33915.45,34395.82,35655.04
Middle East,4497.61,4497.61,4858.61,6390.61,8410.61,9494.01,10385.61,11260.61,11145.61,11188.95,11910.95,12169.95,13169.95,13689.95,14853.95,14389.15,14611.15,14265.15,14411.15,14494.25,14504.24,14501.84,14501.84
Oceania,12395.95,12465.15,12568.21,12568.39,12650.21,13257.21,13260.01,13268.01,13299.01,13243.61,13249.43,13324.46,13388.22,13401.33,13401.38,13419.38,13419.53,13424.03,13676.19,13685.64,13688.64,13688.64,13691.64
Central America and the Caribbean,4045.23,4049.27,4256.52,4459.91,4547.27,4637.31,4825.87,5072.84,5137.69,5249.84,5408.47,5855.23,6246.53,6337.83,6560.76,6833.19,7650.46,7885.95,8073.26,8145.53,8270.93,8310.16,8265.48
