Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Renewable hydropower,697183.7,709076.83,720225.96,740421.16,761327.98,784096.32,805475.05,832411.03,861795.38,891613.3,925737.03,953969.8,984678.43,1029562.36,1066192.73,1098429.45,1129000.78,1151109.43,1173386.39,1191477.97,1212898.84,1235010.05,1255540.39
Solar,1227.52,1483.03,1826.89,2355.01,3439.64,4947.34,6502.62,8981.54,15259.97,23602.35,41593.17,73909.47,104211.97,140514.48,180712.02,228919.51,301082.22,395946.57,489305.98,592244.63,720428.72,861537.24,1053115.28
Wind,16941.52,23968.65,30733.09,38669.96,47684.21,58407.56,73160.48,91541.41,115557.84,150139.58,181082.65,220241.26,267288.79,300026.79,349466.18,416347.13,467028.49,514422.89,564512.85,620841.3,731655.53,824170.9,898824.24
Bioenergy,28120.21,31309.8,32801.8,35055.94,37929.24,43169.28,47187.0,50379.92,54364.54,61105.86,65639.5,72090.39,77224.65,84879.2,90744.73,96484.02,105424.2,111006.4,118194.4,124199.3,133236.0,141301.6,148912.4
Geothermal,8235.95,7917.16,8108.4,8200.3,8218.33,8568.57,8796.34,9027.57,9329.27,9766.77,10228.77,10370.17,10742.17,10982.87,11423.72,12084.93,12404.93,13025.07,13471.32,14089.46,14416.76,14695.61,14876.51
Marine,237.75,239.25,242.25,243.25,242.25,240.25,239.25,241.55,244.55,245.27,249.6,502.68,509.41,509.62,513.03,512.28,522.96,527.16,527.26,525.24,523.29,522.97,523.75
