Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,5282.45,5510.47,6212.17,6240.44,6704.46,7507.26,8930.05,10251.86,11494.39,13953.44,13780.04,15231.6,16267.24,18550.22,21209.98,24018.13,30345.38,33662.82,37596.37,41806.19,49635.67,57239.64,63370.08
Europe,8151.53,9067.23,9619.47,11359.08,12924.33,16189.33,18212.37,18509.42,20008.48,22881.64,24895.7,28305.74,29979.84,31472.61,33186.89,34617.03,35599.75,37038.94,39849.58,41155.09,41774.01,41431.26,41694.17
South America,2908.54,2909.51,2934.72,2992.35,3506.41,3776.38,4195.13,4834.53,5879.85,7030.73,9400.7,10578.69,11824.63,14128.03,14622.79,15201.63,16110.89,16555.32,16815.63,17491.73,17798.7,18511.18,19464.51
North America,8802.76,10555.99,10707.09,11003.36,11160.12,11157.59,11455.07,12236.67,12370.84,12476.69,12766.28,12954.82,13890.35,15216.71,15691.59,16333.74,16521.07,16590.49,16379.03,15691.84,15536.75,14989.65,14960.45
Eurasia,1317.43,1358.73,1335.73,1343.83,1358.5,1347.83,1352.83,1350.83,1355.85,1337.45,1316.45,1297.45,1340.45,1406.15,1628.0,1679.05,1767.05,1887.35,2005.04,2201.09,2515.03,3054.48,3329.58
Central America and the Caribbean,300.74,388.12,410.87,475.12,554.55,1313.09,1151.63,1272.7,1330.56,1408.2,1423.03,1557.54,1659.9,1772.29,1953.7,2075.53,2417.0,2513.21,2638.44,2931.43,3039.44,3040.44,3040.44
Africa,801.61,811.56,833.56,841.56,850.56,933.51,865.82,880.67,925.3,977.61,1006.24,1088.78,1181.55,1255.58,1356.18,1439.6,1501.72,1580.59,1734.69,1746.3,1757.3,1846.8,1846.8
Oceania,547.45,700.49,740.49,792.49,862.6,936.6,1013.9,1030.9,986.94,1021.02,1024.02,1029.73,1032.64,1024.55,1035.81,1038.77,1073.77,1089.77,1089.77,1089.77,1095.52,1104.48,1105.38
Middle East,7.71,7.71,7.71,7.71,7.71,7.71,10.21,12.33,12.33,19.09,27.05,46.05,48.05,53.05,59.79,80.54,87.54,87.88,85.88,85.88,83.63,83.64,101.04
