Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Solar photovoltaic,808.52,1094.23,1438.09,1965.81,3050.44,4546.14,6090.42,8502.74,14725.17,22836.25,40327.35,72205.45,101645.45,136572.14,176113.39,224069.56,296112.28,390877.56,483495.15,585867.64,713918.03,855162.28,1046614.32
Concentrated solar power,419.0,388.8,388.8,389.2,389.2,401.2,412.2,478.8,534.8,766.1,1265.82,1704.02,2566.52,3942.33,4598.63,4849.94,4969.94,5069.01,5810.83,6376.98,6510.68,6374.96,6500.96
