Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.0,160.0,175.0,0.0,20.0,0.0,214.8,164.0,150.0,24.0,126.0
Europe,0.0,0.0,0.0,0.0,0.0,11.0,0.0,50.0,223.0,454.72,417.0,851.0,304.41,1.0,0.0,0.0,0.07,0.02,8.95,0.0,-0.09,0.0
North America,-30.2,0.0,0.0,0.0,12.0,0.0,64.0,0.0,8.2,0.0,-1.5,4.5,810.4,380.3,91.2,0.0,0.0,16.0,1.2,-10.2,-267.9,0.0
Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,20.0,0.0,0.0,100.0,160.0,100.0,100.0,460.0,100.0,0.0,0.0,0.0
Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1,0.0,0.0,0.0,100.0,0.0,0.11,0.0,0.0,50.0,292.0,-6.1,0.0,0.0
South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.27,0.0
Oceania,0.0,0.0,0.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
Eurasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
