Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Renewable hydropower,92.72,91.61,90.72,89.75,88.65,87.18,85.56,83.86,81.57,78.45,75.6,71.67,68.16,65.72,62.75,59.29,56.02,52.66,49.73,46.85,43.12,40.13,37.24
Solar,0.16,0.19,0.23,0.29,0.4,0.55,0.69,0.9,1.44,2.08,3.4,5.55,7.21,8.97,10.64,12.36,14.94,18.11,20.74,23.29,25.61,28.0,31.23
Wind,2.25,3.1,3.87,4.69,5.55,6.49,7.77,9.22,10.94,13.21,14.79,16.55,18.5,19.15,20.57,22.47,23.17,23.53,23.93,24.41,26.01,26.78,26.66
Bioenergy,3.74,4.05,4.13,4.25,4.42,4.8,5.01,5.08,5.15,5.38,5.36,5.42,5.35,5.42,5.34,5.21,5.23,5.08,5.01,4.88,4.74,4.59,4.42
Geothermal,1.1,1.02,1.02,0.99,0.96,0.95,0.93,0.91,0.88,0.86,0.84,0.78,0.74,0.7,0.67,0.65,0.62,0.6,0.57,0.55,0.51,0.48,0.44
Marine,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02
