Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Onshore wind energy,,7018.13,6600.44,7666.27,8929.05,10633.35,14554.92,18170.43,23668.03,33890.64,30021.27,38438.15,45489.39,30900.7,48118.87,63655.15,48056.78,42899.5,45337.11,51615.75,104745.88,72627.74,65711.54
Offshore wind energy,,9.0,164.0,270.6,85.2,90.0,198.0,210.5,348.4,691.1,921.8,720.46,1558.14,1837.3,1320.52,3225.8,2624.58,4494.9,4752.85,4712.7,6068.35,19887.63,8941.8
