Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,135.06,205.43,238.22,288.55,367.63,360.65,321.92,575.5,852.86,1811.88,4121.68,6560.48,20015.32,24465.9,29890.19,49908.6,71363.44,64553.33,56448.01,77472.4,75087.03,112159.69
Europe,100.26,84.63,238.78,711.59,980.15,962.16,1773.18,5468.31,6600.58,13738.14,23862.79,18912.12,10555.92,6906.1,8509.25,6569.36,6125.62,9304.15,20668.65,20523.58,27347.71,37656.31
North America,9.8,44.0,40.0,72.0,146.0,209.0,350.0,188.0,544.35,1441.66,2653.09,3137.9,4193.08,6484.59,6913.38,11688.42,9096.31,9836.55,11991.83,16836.56,20699.58,19250.94
South America,1.5,1.24,1.47,0.96,0.75,1.2,1.36,2.78,4.25,25.7,26.04,94.71,33.79,267.28,456.05,668.15,2082.7,1839.87,3050.36,4602.05,7631.26,11977.59
Oceania,4.49,5.18,5.65,7.34,6.5,9.36,15.04,12.67,248.02,761.94,1392.07,1335.64,780.37,747.33,721.14,780.74,716.37,1305.47,4411.9,5063.63,4985.13,4057.4
Middle East,0.0,0.0,0.0,0.03,1.0,0.34,0.53,8.15,31.79,48.71,123.76,102.14,316.6,250.71,218.53,507.33,626.38,1224.72,2799.91,1171.54,2248.77,3201.12
Eurasia,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7,1.0,1.21,1.71,5.07,8.17,27.44,267.72,620.49,2741.74,1973.81,1706.22,884.15,1518.2,1856.78
Africa,2.9,2.03,2.39,2.44,3.65,7.51,11.51,16.22,43.47,129.87,89.75,74.18,319.64,992.79,532.65,1213.16,1744.55,2950.93,1342.59,1326.39,808.15,1012.95
Central America and the Caribbean,1.31,1.02,1.23,1.2,1.53,4.56,4.77,6.1,16.07,31.71,45.41,80.25,79.62,55.41,698.59,206.44,367.24,370.61,519.17,303.77,782.71,405.27
