Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,1378.61,2140.01,2356.55,3546.56,5385.56,6879.86,10507.25,13991.92,20989.24,31307.89,46083.59,66026.8,82809.36,99542.49,124336.49,161803.57,184185.42,205016.1,229093.8,257670.96,332298.39,384944.73,425673.95
Europe,12730.92,17392.93,23288.11,28152.95,34320.37,40684.29,47918.9,56340.81,64055.29,75807.54,84920.02,94713.94,107192.45,118169.63,130198.2,143015.4,155727.12,170616.27,181787.1,196103.69,207910.36,222034.16,240623.71
North America,2486.0,4011.64,4595.64,6340.19,6917.8,9401.41,12852.79,18456.1,27088.9,38003.4,43836.3,51661.57,67469.9,70121.76,76693.19,87252.24,97526.36,104260.78,113369.24,123321.61,138794.55,154476.99,163469.22
South America,37.24,51.96,50.92,52.86,74.96,69.96,286.38,317.77,483.3,846.3,1181.4,1736.15,2338.55,2863.18,6578.59,9942.2,12946.27,15725.9,19139.62,20695.3,24035.45,29755.42,33470.75
Eurasia,22.0,22.0,26.0,28.0,28.0,33.64,71.64,158.64,376.64,806.64,1334.64,1743.64,2275.64,2775.34,3645.34,4524.5,5800.53,6565.68,7146.21,7782.98,9867.62,12651.92,13712.12
Oceania,73.01,116.55,166.75,272.4,566.91,929.91,1015.41,1610.73,1807.97,2265.92,2453.8,2800.07,3234.07,3894.08,4530.18,4921.2,5065.47,5553.2,6184.12,7022.44,9346.44,9917.04,11100.44
Africa,139.05,139.05,144.31,153.79,236.11,240.18,327.91,470.1,555.3,742.4,864.78,994.98,1127.59,1741.83,2399.4,3320.27,3831.39,4578.26,5471.55,5528.75,6514.65,7370.15,7684.65
Central America and the Caribbean,62.31,82.11,85.41,99.81,121.61,123.31,125.21,124.34,129.53,258.83,304.46,457.22,725.92,796.91,920.23,1281.54,1522.66,1602.63,1712.13,1940.48,1964.8,1991.6,2036.15
Middle East,12.4,12.4,19.4,23.4,32.9,45.0,55.0,71.0,71.68,100.68,103.68,106.89,115.31,121.56,164.56,286.22,423.27,504.08,609.08,775.1,923.27,1028.89,1053.25
