Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,1100.0,1120.0,1652.0,1850.0,1900.0,2000.0,2500.0,3000.0,3270.0,4600.0,3446.4,3807.71,4617.19,6088.99,6652.57,7976.88,9269.5,11234.0,13235.0,16537.07,23583.45,29753.2,34088.2
Brazil,2657.15,2661.45,2670.05,2695.86,3124.0,3339.0,3701.0,4103.0,5054.0,5717.0,7927.0,9028.35,9922.35,11601.35,12342.51,13311.29,14187.0,14573.56,14818.79,15358.14,15685.9,16351.31,17205.67
USA,6804.84,8381.42,8397.92,8407.29,8612.99,8718.56,9005.83,9729.75,9942.45,10142.3,10296.0,10493.45,11216.85,12277.35,12413.55,12969.3,12900.7,12837.9,12616.15,12052.95,11888.9,11334.0,11295.9
India,346.9,415.4,483.93,613.43,749.53,960.39,1248.14,1546.84,2212.81,2511.38,3144.51,3677.17,3928.92,4180.35,5030.08,5478.22,8895.17,9417.18,10137.4,10225.63,10532.46,10591.52,10669.88
Germany,766.5,1047.5,1163.5,1889.0,2165.5,2961.0,3652.5,4001.0,4367.0,5589.5,6222.0,7162.0,7470.5,7964.0,8202.0,8429.0,8659.5,8982.0,9661.5,9994.0,10320.0,9824.5,9879.5
Others,16368.84,17608.07,18353.43,19519.4,21296.24,25109.35,26993.55,27911.35,29416.3,32443.69,34485.64,37822.76,39926.87,42595.19,45883.04,48048.36,51153.32,53489.98,57138.13,59248.05,60127.92,61809.82,63860.97
