Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,0.0,0.0,0.0,70.00000000000001,0.0,0.0,0.0,0.0,35.0,35.0,0.0,7.5,0.0,160.59999999999997,252.80000000000007,34.0,20.0,10.899999999999977,0.0,179.29999999999995,0.0,86.0
North America,-593.79,41.039999999999964,-2.0,18.829999999999927,133.22000000000025,-11.320000000000164,-59.7800000000002,17.600000000000364,155.0999999999999,22.699999999999818,-73.40000000000009,119.90000000000009,13.900000000000091,-102.69999999999982,120.19999999999982,-4.900000000000091,25.700000000000273,-39.0,160.0999999999999,16.5,49.79999999999973,55.90000000000009
Eurasia,-2.0,49.0,-3.0,-14.0,23.0,16.0,3.0,-3.0,48.0,17.0,20.0,48.0,147.0,93.0,219.0,197.0,238.70000000000005,218.81999999999994,239.56999999999994,91.10000000000014,63.0,15.099999999999909
South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,-8.299999999999997,0.0,0.0,11.699999999999996
Asia,260.0,0.0,22.0,15.0,30.0,-3.0,130.0,75.09999999999991,140.0,1.300000000000182,39.09999999999991,85.0,7.299999999999727,125.40000000000009,42.59999999999991,105.0,225.0,149.02999999999975,164.92000000000007,0.0,159.55000000000018,11.400000000000546
Central America and the Caribbean,5.0,51.19999999999999,18.0,-7.0,21.0,25.200000000000045,53.19999999999993,0.0,0.0,0.0,51.80000000000007,77.0,-15.0,-3.5,2.8600000000000136,-10.5,35.5,0.0,56.539999999999964,1.2000000000000455,0.0,0.7999999999999545
Europe,13.0,95.0,41.0,-64.79999999999995,57.91999999999996,200.9999999999999,65.80000000000018,90.0,27.0,34.0,103.89999999999986,8.600000000000136,12.5,42.049999999999955,-0.25,4.399999999999864,51.24000000000001,58.600000000000136,5.0,5.2000000000000455,6.5,0.0
Oceania,-1.0,-45.0,15.900000000000034,0.0,85.09999999999997,-0.0999999999999659,39.0,122.0,33.0,352.0,0.0,25.999999999999886,75.0,126.0,24.0,-5.0,0.0,23.90000000000009,0.30999999999994543,34.0,0.0,0.0
