Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Onshore wind energy,16874.77,23892.9,30493.34,38159.61,47088.66,57722.01,72276.93,90447.36,114115.39,148006.03,178027.3,216465.45,261954.84,292855.54,340974.41,404629.56,452686.34,495585.84,540922.95,592538.7,697284.58,769912.32,835623.86
Offshore wind energy,66.75,75.75,239.75,510.35,595.55,685.55,883.55,1094.05,1442.45,2133.55,3055.35,3775.81,5333.95,7171.25,8491.77,11717.57,14342.15,18837.05,23589.9,28302.6,34370.95,54258.58,63200.38
