Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,35378.6,30931.6,31912.6,32212.6,32612.6,34482.6,37082.6,40607.6,42562.6,46032.6,49262.6,52415.1,54835.18,56035.18,57217.68,58337.68,61997.68,64667.68,65267.68,65567.68,65597.68,71667.68,80987.68
Europe,24584.95,24720.95,24792.95,24455.95,25038.95,25767.95,25699.95,25924.95,25916.95,26764.45,26997.45,26988.11,26827.11,27730.06,28199.06,28380.06,28592.1,28463.98,28360.48,28360.48,28365.44,28689.44,28689.44
North America,19699.0,19843.0,20550.0,20699.0,20941.0,21524.0,21638.0,22063.0,22035.0,22337.0,18688.0,18766.0,18839.0,18860.0,18950.0,19040.0,19201.0,19233.0,19253.0,19202.0,19439.9,19431.4,19464.9
Africa,1400.0,1400.0,1400.0,1400.0,1633.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,1864.0,2863.0,3196.0,3196.0,3196.0,3196.0,3196.0,3196.0
Middle East,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,1280.0,1280.0,1280.0,1280.0,1280.0,1580.0,1580.0,1580.0
Eurasia,1200.0,1200.0,1216.0,1216.0,1143.0,1180.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1215.9,1356.0,1356.0
South America,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0
Oceania,1490.0,1490.0,1490.0,1490.0,1416.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0
