Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,932.0,1046.0,1106.0,816.0,868.0,954.0,987.0,1013.0,1044.0,1013.0,2166.0,2233.0,2605.0,3183.0,3446.0,3995.0,4535.13,5329.3,6383.5,7839.9,10528.28,13007.32,15482.57
Europe,1425.0,1580.0,1683.0,2119.0,2312.0,2516.0,2836.0,2738.0,2919.0,3220.0,3372.0,3611.0,3709.0,4197.0,4147.0,4514.0,4778.57,4889.01,5014.35,5104.81,5140.05,5014.79,5134.28
North America,1176.0,1257.0,1253.0,1226.0,1104.0,1101.0,1111.0,1126.0,1125.0,1139.0,1135.0,1152.0,1181.0,1179.0,1175.0,1177.0,1243.7,1259.5,1254.05,1197.35,1197.9,1195.4,1162.4
Eurasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,37.0,37.0,42.0,45.25,46.25,46.3,57.2,55.5
South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,5.25,12.53,14.4,29.73,34.54
Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,18.0,18.0,18.0,18.0,18.0,18.25,18.25,18.25,18.25,15.0,15.0,30.0
Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,25.0
Central America and the Caribbean,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.25,4.25,4.25,4.25,4.25,4.25,4.25
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36
