Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,228.02,701.7,28.27,464.02,802.8,1422.79,1321.81,1242.53,2459.05,-173.4,1451.56,1035.64,2282.98,2659.76,2808.15,6327.25,3317.44,3933.55,4209.82,7829.48,7603.97,6130.44
South America,0.97,25.21,57.63,514.06,269.97,418.75,639.4,1045.32,1150.88,2369.97,1177.99,1245.94,2303.4,494.76,578.84,909.26,444.43,260.31,676.1,306.97,712.48,953.33
Eurasia,41.3,-23.0,8.1,14.67,-10.67,5.0,-2.0,5.02,-18.4,-21.0,-19.0,43.0,65.7,221.85,51.05,88.0,120.3,117.69,196.05,313.94,539.45,275.1
Europe,915.7,552.24,1739.61,1565.25,3265.0,2023.04,297.05,1499.06,2873.16,2014.06,3410.04,1674.1,1492.77,1714.28,1430.14,982.72,1439.19,2810.64,1305.51,618.92,-342.75,262.91
Middle East,0.0,0.0,0.0,0.0,0.0,2.5,2.12,0.0,6.76,7.96,19.0,2.0,5.0,6.74,20.75,7.0,0.34,-2.0,0.0,-2.25,0.01,17.4
Oceania,153.04,40.0,52.0,70.11,74.0,77.3,17.0,-43.96,34.08,3.0,5.71,2.91,-8.09,11.26,2.96,35.0,16.0,0.0,0.0,5.75,8.96,0.9
Africa,9.95,22.0,8.0,9.0,82.95,-67.69,14.85,44.63,52.31,28.63,82.54,92.77,74.03,100.6,83.42,62.12,78.87,154.1,11.61,11.0,89.5,0.0
Central America and the Caribbean,87.38,22.75,64.25,79.43,758.54,-161.46,121.07,57.86,77.64,14.83,134.51,102.36,112.39,181.41,121.83,341.47,96.21,125.23,292.99,108.01,1.0,0.0
North America,1753.23,151.1,296.27,156.76,-2.53,297.48,781.6,134.17,105.85,289.59,188.54,935.53,1326.36,474.88,642.15,187.33,69.42,-211.46,-687.19,-155.09,-547.1,-29.2
