Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,135.06,205.43,238.22,288.55,367.63,360.65,321.92,575.5,852.86,1811.88,4118.98,6553.48,19855.32,24290.9,29890.19,49888.61,71363.4,64338.6,56284.0,77322.4,75063.0,112033.7
Europe,100.26,84.63,238.78,711.59,980.15,951.16,1773.18,5418.31,6377.58,13283.42,23445.79,18061.12,10251.51,6905.1,8509.25,6569.37,6125.5,9304.2,20659.7,20523.5,27347.8,37656.4
North America,40.0,44.0,40.0,72.0,134.0,209.0,286.0,188.0,536.15,1441.66,2654.59,3133.4,3382.68,6104.29,6822.18,11688.42,9096.31,9820.55,11990.63,16846.76,20967.48,19250.9
South America,1.5,1.24,1.47,0.96,0.75,1.2,1.36,2.78,4.25,25.7,26.04,94.71,33.79,267.28,456.05,668.15,2082.7,1839.87,3050.36,4602.05,7522.99,11977.59
Oceania,4.49,5.18,5.25,7.34,6.5,9.36,12.44,12.67,248.02,761.94,1392.07,1335.64,780.37,747.33,721.14,780.74,717.37,1304.47,4411.9,5063.63,4985.13,4057.4
Middle East,0.0,0.0,0.0,0.03,1.0,0.34,0.53,2.15,31.69,48.71,123.76,102.14,216.6,250.71,218.42,507.33,626.38,1174.72,2507.91,1177.64,2248.77,3201.12
Eurasia,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7,1.0,1.21,1.71,5.07,7.17,27.44,267.72,620.49,2741.74,1973.81,1706.22,884.15,1518.2,1856.78
Africa,2.9,2.03,2.39,2.44,3.65,7.51,11.51,16.22,43.47,84.87,69.75,74.18,319.64,892.79,372.65,1113.16,1644.55,2490.93,1242.59,1326.39,808.15,1012.95
Central America and the Caribbean,1.31,1.02,1.23,1.2,1.53,4.56,4.77,6.1,16.07,31.71,45.41,80.25,79.62,55.41,698.59,206.44,367.24,370.61,519.17,303.77,782.71,405.27
