Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,79352.0,82700.0,86070.0,94896.0,105242.0,117390.0,130290.0,148230.0,172603.92,196290.19,216057.18,232980.0,249470.48,280440.0,304860.0,319530.0,332070.49,343774.94,352261.43,358040.0,370280.0,390920.0,413500.0
Brazil,61063.0,62409.0,64473.0,67697.5,69087.2,71060.2,73678.0,76869.0,77545.0,78610.0,80703.0,82457.0,84294.0,86019.0,89193.83,91650.83,96930.46,100332.81,104482.22,109143.05,109318.36,109426.25,109814.17
USA,98881.0,98581.98,99729.2,99216.35,98404.74,98887.92,99282.01,99770.5,99788.2,100677.7,101120.4,101040.9,101226.9,101692.9,102270.2,102361.2,102847.75,102851.32,102961.57,102813.71,103089.65,103060.38,103138.51
Canada,67407.0,67059.0,69206.0,70374.0,70857.0,71978.0,72838.0,73458.0,74407.0,74687.0,75078.0,75573.0,75537.0,75511.0,75474.0,79405.0,80304.0,80831.0,81396.0,81399.0,81403.7,82739.8,83552.6
Russian Fed,44649.0,45006.0,45144.0,45554.0,45862.0,46213.0,46562.0,47307.0,47621.0,47867.0,47989.0,48038.0,49749.0,50556.0,51332.0,51475.0,51466.0,51701.77,51794.5,52294.76,52614.03,52754.13,52754.13
Others,419623.3,422447.45,425938.36,432791.9,443228.64,452503.78,459286.62,467081.09,471619.85,479166.49,489010.54,500017.17,510397.42,520783.75,528890.52,540041.23,555634.95,564185.27,572556.51,579890.67,586388.24,592321.5,598267.58
