Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Asia,19.72,22.1,21.69,22.18,23.48,23.95,25.33,26.24,28.16,28.33,30.22,29.91,32.81,33.43,35.95,36.96,37.9,39.04,39.96,41.13,41.52,43.5
Europe,22.43,23.29,20.99,20.22,20.6,20.61,19.97,20.59,20.98,20.88,21.39,20.1,21.11,21.72,21.37,21.28,20.32,19.45,19.58,19.03,19.47,18.68
North America,25.99,22.95,25.69,25.32,23.79,23.61,23.21,21.95,21.96,21.71,20.4,22.03,20.14,19.91,19.38,18.83,19.01,19.46,18.62,17.94,17.89,17.59
South America,19.15,18.46,18.7,19.4,18.74,18.88,18.81,19.03,18.08,18.05,16.98,17.25,15.8,14.63,13.76,13.25,13.05,12.63,12.37,11.82,11.27,10.63
Eurasia,7.2,7.43,7.19,6.99,7.5,6.84,6.67,6.39,5.64,5.79,5.71,5.43,5.13,5.24,4.54,4.82,4.94,4.62,4.61,4.91,4.79,4.49
Africa,2.78,3.08,2.91,2.95,2.92,3.0,2.92,2.8,2.76,2.83,2.77,2.67,2.53,2.53,2.54,2.49,2.35,2.4,2.45,2.49,2.46,2.47
Oceania,1.69,1.64,1.67,1.64,1.65,1.52,1.51,1.48,1.35,1.35,1.36,1.43,1.28,1.35,1.38,1.3,1.3,1.27,1.27,1.31,1.32,1.39
Central America and the Caribbean,0.76,0.71,0.74,0.76,0.79,0.79,0.77,0.76,0.76,0.71,0.74,0.7,0.72,0.71,0.67,0.71,0.71,0.75,0.74,0.66,0.68,0.72
Middle East,0.28,0.34,0.42,0.54,0.53,0.81,0.81,0.76,0.31,0.34,0.44,0.48,0.47,0.49,0.4,0.36,0.42,0.38,0.4,0.72,0.6,0.51
