Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chinese Taipei,4560.0,5090.0,2778.9,3034.5,3209.9,4071.4,4088.4,4417.5,4305.1,3748.3,4194.1,3999.7,5669.6,5422.9,4317.9,4470.1,6562.0,5446.8,4481.6,5544.8,3019.2,3474.7,5836.5
Colombia,31873.31,31594.65,33759.53,35958.31,39853.44,39575.43,42544.57,44267.46,46235.91,40907.91,40239.71,48762.71,47471.25,50152.97,47740.08,48462.21,48973.57,61310.58,59795.82,54455.34,49862.75,62134.28,62056.54
Comoros (the),,,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
Congo,58.0,334.45,396.33,342.03,329.63,355.37,372.3,334.6,375.3,329.6,429.8,790.8,987.2,953.9,1038.1,1098.2,1131.9,1202.9,1046.0,1046.0,1046.0,1046.0,1046.0
Costa Rica,5684.1,5658.17,5970.36,6021.87,6514.5,6637.08,6601.0,7183.01,7383.66,7226.21,7263.94,7136.27,7234.85,6852.69,6718.8,8068.23,8027.59,8678.61,8344.54,7828.31,8295.96,9287.36,9450.35
Croatia,6452.9,7180.4,5851.8,5457.8,7626.6,7036.5,6617.0,4700.1,5780.0,7408.8,9126.2,5031.89,4837.1,8621.7,9006.22,6390.64,6852.1,5307.4,7700.9,5826.1,5662.4,7127.7,5459.7
Cuba,89.0,75.0,106.4,127.7,87.6,67.7,93.5,121.4,138.31,150.8,96.6,99.2,110.9,127.3,104.1,48.3,64.2,82.57,145.5,127.83,115.23,123.03,123.53
Czechia,1758.0,2054.0,2492.0,1383.0,2019.2,2379.91,2550.7,2089.6,2024.34,2429.61,2789.47,1963.15,2129.17,2734.74,1909.22,1794.81,2000.49,1869.46,1628.83,2008.03,2143.88,2408.52,2093.47
Côte d'Ivoire,1764.0,1800.0,1729.0,1832.0,1748.0,1433.0,1510.0,1797.0,1898.0,2131.0,1618.0,1774.0,1789.0,1605.87,1914.0,1352.5,1529.1,2047.2,2962.0,3481.0,3376.0,2627.0,2864.0
DR Congo,5996.0,5974.0,6110.0,5981.28,6883.93,7186.29,7221.64,7574.77,7238.51,7633.41,7509.7,7191.9,7557.63,8340.82,8719.77,8766.75,8827.53,9406.16,10517.34,11497.14,12563.88,13241.98,13302.85
Democratic People's Republic of Korea (the),10200.0,10600.0,10620.0,11720.0,12500.0,13132.0,12620.0,13280.0,14068.0,12500.0,13400.0,13200.0,13500.0,13702.0,13649.59,10000.0,12800.0,11900.0,12800.0,11000.0,12800.0,16100.0,16600.0
Denmark,30.0,28.0,32.0,21.0,27.0,23.0,23.0,28.0,26.0,19.0,20.64,16.87,17.48,13.42,15.1,18.03,19.27,17.87,14.86,16.95,17.06,16.29,14.94
Dominica,31.59,27.04,35.93,28.52,33.74,27.88,27.8,21.89,20.55,23.16,23.13,35.84,26.75,36.71,30.64,24.44,36.37,27.15,24.18,20.15,19.24,19.82,22.69
Dominican Republic,933.67,738.15,972.81,1373.79,1581.68,1896.56,1764.42,1680.26,1382.69,1453.94,1416.97,1514.63,1784.48,1874.55,1270.89,945.22,1518.81,2196.43,1779.52,1060.24,1292.7,1500.96,1465.27
Ecuador,7611.23,7070.65,7524.26,7180.42,7411.7,6882.64,7129.49,9037.66,11293.33,9225.41,8636.4,11133.09,12237.72,11038.83,11457.9,13096.27,15833.84,20088.61,20678.0,24640.57,24324.1,25562.89,24635.16
Egypt,13697.0,15130.0,12859.0,12859.0,13019.0,12644.0,12925.0,12925.0,15510.0,14682.0,12863.0,13046.0,12934.0,13121.0,13352.0,13822.0,13545.0,12850.0,12726.0,13121.0,15038.0,14646.0,15458.0
El Salvador,1220.52,1209.17,1185.31,1517.72,1439.14,1717.39,2016.19,1792.8,2099.08,1565.94,2150.48,2085.77,1914.74,1853.63,1789.6,1423.86,1343.78,1705.52,1631.83,1527.68,2074.17,1825.2,2242.42
Equatorial Guinea,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,67.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
