Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,
Australia,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,
Austria,,,2.97,2.97,1.98,2.3,3.06,2.41,1.62,1.51,1.4,1.05,0.68,0.31,0.38,0.06,0.02,0.09,0.24,0.2,0.07,0.03,0.0
Chile,,,,,,,,,,,,,,,,,,63.8,214.1,202.0,216.0,324.0,465.39
China,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,139.5,139.5,139.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5
Costa Rica,937.5,986.28,1120.96,1144.25,1205.61,1147.71,1214.89,1238.53,1130.86,1185.81,1176.08,1279.54,1402.55,1516.74,1538.14,1375.63,1339.52,1117.83,968.57,1512.58,1689.17,1601.73,1618.69
Croatia,,,,,,,,,,,,,,,,,,,2.0,91.9,93.7,89.7,72.7
El Salvador,786.23,966.39,993.12,1026.08,1011.1,1050.51,1140.44,1381.66,1519.14,1523.94,1525.13,1534.38,1535.38,1559.62,1557.64,1539.69,1575.52,1569.12,1545.28,1474.0,1557.05,1559.1,1581.28
Ethiopia,26.0,20.0,5.0,1.0,,,,,,13.87,23.61,18.0,7.98,,,,,,,,,,29.15
France,,,,,,,,,,,,62.24,56.51,90.15,83.11,91.94,97.61,133.13,126.98,128.49,133.2,100.31,113.6
Germany,,,,,,,,,18.0,19.0,28.0,19.0,25.0,80.0,98.0,133.0,175.0,163.0,178.0,197.0,231.0,244.0,206.0
Guadeloupe,21.37,19.59,16.85,23.12,29.19,95.28,78.06,94.74,89.29,49.53,14.63,55.88,50.56,81.35,75.41,82.83,84.08,112.2,106.79,109.47,115.07,84.03,96.44
Guatemala,202.18,193.68,129.99,195.02,194.23,146.24,142.53,233.22,271.98,279.94,259.31,237.08,245.63,212.35,246.6,251.54,289.14,253.05,249.75,262.14,273.86,264.97,281.99
Honduras,,,,,,,,,,,,,,,,,,92.59,297.07,295.92,306.99,348.2,337.19
Hungary,,,,,,,,,,,,,,,,,,1.0,12.0,18.0,16.0,12.0,4.0
Iceland,1323.0,1451.0,1433.0,1406.0,1483.48,1658.0,2631.27,3578.55,4037.66,4553.09,4465.32,4701.46,5209.54,5245.02,5238.41,5003.0,5067.28,5169.6,6009.83,6018.14,5960.6,5801.65,5916.1
Indonesia,5298.0,5964.0,6374.0,5918.0,6294.0,6604.0,6658.0,7021.0,8309.0,9295.0,9357.0,9371.0,9417.0,9414.0,10038.0,10048.0,10656.0,12764.0,14019.0,14100.0,15563.0,15899.0,16677.0
Italy,4705.0,4507.0,4662.0,5341.0,5437.27,5324.46,5527.37,5569.13,5520.32,5341.82,5375.92,5654.26,5591.69,5659.23,5916.33,6184.97,6288.57,6201.16,6105.39,6074.86,6026.11,5913.79,5836.92
Japan,3348.0,3432.0,3374.0,3484.0,3374.0,3226.0,3081.0,3043.0,2750.0,2886.0,2632.0,2676.0,2609.0,2603.0,2620.0,2595.0,2501.0,2457.0,2524.0,2847.0,2992.0,3008.0,2980.0
Kenya,406.0,454.5,433.0,587.0,911.5,1019.0,1030.0,1060.5,1144.0,1287.28,1377.48,1478.81,1578.9,1906.05,3206.09,4481.1,4688.93,4870.16,5168.44,5383.86,5384.88,5123.56,5324.6
Mexico,5901.0,5567.0,5398.0,6282.0,6577.0,7299.0,6685.0,7404.0,7056.0,6740.0,6618.0,6507.0,5817.0,6070.0,6000.0,6331.0,6148.0,7009.0,5375.0,5351.0,5320.0,4363.0,4536.0
New Zealand,2922.0,2838.0,2814.0,2750.0,2789.0,3159.0,3368.0,3555.0,4204.0,4865.0,5892.0,6237.0,6448.0,6836.0,7627.0,8214.0,8202.0,8246.0,8193.0,8261.0,8304.0,8447.0,8544.0
Nicaragua,134.16,206.08,210.27,270.7,254.84,270.76,311.0,243.23,322.14,296.52,302.11,272.84,523.32,679.36,662.01,677.74,705.56,750.86,801.4,778.13,767.31,734.03,687.17
Papua New Guinea,,,,50.0,50.0,110.0,110.0,288.96,373.53,400.0,369.6,339.2,308.8,278.4,248.0,217.6,187.2,156.8,126.4,96.0,96.0,96.0,96.0
