Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Europe,92.78,92.48,92.61,92.38,92.44,93.13,94.61,93.8,95.34,92.25,93.05,93.43,93.01,45.27,48.37,48.73,49.92,52.07,49.85,51.53,52.82,52.36,54.87
Asia,1.35,1.41,1.38,1.39,1.45,1.43,1.5,1.49,1.51,1.52,1.43,1.44,1.48,53.06,49.98,49.94,48.22,47.32,48.16,48.33,47.14,47.6,45.09
Eurasia,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
South America,,,,,,,,,,,,,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,,,,,,,,,,,,,,,,,,,,,,,
Central America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,,,,,,,,
North America,5.85,6.1,5.99,6.22,6.09,5.42,3.87,4.64,3.07,6.16,5.44,5.06,5.42,1.62,1.6,1.29,1.82,0.57,1.96,0.1,,,
Oceania,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
