Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Onshore wind energy,30809.03,37566.42,51961.72,62534.37,82848.11,101770.42,127824.62,166587.9,213494.82,267656.01,335328.61,422203.77,511502.11,616269.32,687455.59,791920.19,911340.76,1074950.35,1190508.73,1327739.23,1484406.63,1700649.96
Offshore wind energy,116.88,155.99,441.41,841.98,1232.4,1439.68,1680.44,2292.19,3326.09,4373.3,7514.72,11592.43,14534.5,20516.83,24658.25,36248.27,41624.21,56880.65,68286.87,84637.49,104070.48,137613.65
