Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chinese Taipei,530.0,-2311.1,255.6,175.4,861.5,17.0,329.1,-112.4,-556.8,445.8,-194.4,1669.9,-246.7,-1105.0,152.2,2091.9,-1115.2,-965.2,1063.2,-2525.6,455.5,2361.8
Colombia,-278.66,2164.88,2198.78,3895.13,-278.01,2969.14,1722.89,1968.45,-5328.0,-668.2,8523.0,-1291.46,2681.72,-2412.89,722.13,511.36,12337.01,-1514.76,-5340.48,-4592.59,12271.53,-77.74
Comoros (the),,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Congo,276.45,61.88,-54.3,-12.4,25.74,16.93,-37.7,40.7,-45.7,100.2,361.0,196.4,-33.3,84.2,60.1,33.7,71.0,-156.9,0.0,0.0,0.0,0.0
Costa Rica,-25.93,312.19,51.51,492.63,122.58,-36.08,582.01,200.65,-157.45,37.73,-127.67,98.58,-382.16,-133.89,1349.43,-40.64,651.02,-334.07,-516.23,467.65,991.4,162.99
Croatia,727.5,-1328.6,-394.0,2168.8,-590.1,-419.5,-1916.9,1079.9,1628.8,1717.4,-4094.31,-194.79,3784.6,384.52,-2615.58,461.46,-1544.7,2393.5,-1874.8,-163.7,1465.3,-1668.0
Cuba,-14.0,31.4,21.3,-40.1,-19.9,25.8,27.9,16.91,12.49,-54.2,2.6,11.7,16.4,-23.2,-55.8,15.9,18.37,62.93,-17.67,-12.6,7.8,0.5
Czechia,296.0,438.0,-1109.0,636.2,360.71,170.79,-461.1,-65.26,405.27,359.86,-826.32,166.02,605.57,-825.52,-114.41,205.68,-131.03,-240.63,379.2,135.85,264.64,-315.05
Côte d'Ivoire,36.0,-71.0,103.0,-84.0,-315.0,77.0,287.0,101.0,233.0,-513.0,156.0,15.0,-183.13,308.13,-561.5,176.6,518.1,914.8,519.0,-105.0,-749.0,237.0
DR Congo,-22.0,136.0,-128.72,902.65,302.36,35.35,353.13,-336.26,394.9,-123.71,-317.8,365.73,783.19,378.95,46.98,60.78,578.63,1111.18,979.8,1066.74,678.1,60.87
Democratic People's Republic of Korea (the),400.0,20.0,1100.0,780.0,632.0,-512.0,660.0,788.0,-1568.0,900.0,-200.0,300.0,202.0,-52.41,-3649.59,2800.0,-900.0,900.0,-1800.0,1800.0,3300.0,500.0
Denmark,-2.0,4.0,-11.0,6.0,-4.0,0.0,5.0,-2.0,-7.0,1.64,-3.77,0.61,-4.06,1.68,2.93,1.24,-1.4,-3.01,2.09,0.11,-0.77,-1.35
Dominica,-4.55,8.89,-7.41,5.22,-5.86,-0.08,-5.91,-1.34,2.61,-0.03,12.71,-9.09,9.96,-6.07,-6.2,11.93,-9.22,-2.97,-4.03,-0.91,0.58,2.87
Dominican Republic,-195.52,234.66,400.98,207.89,314.88,-132.14,-84.16,-297.57,71.25,-36.97,97.66,269.85,90.07,-603.66,-325.67,573.59,677.62,-416.91,-719.28,232.46,208.26,-35.69
Ecuador,-540.58,453.61,-343.84,231.28,-529.06,246.85,1908.17,2255.67,-2067.92,-589.01,2496.69,1104.63,-1198.89,419.07,1638.37,2737.57,4254.77,589.39,3962.57,-316.47,1238.79,-927.73
