Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,30.62,36.18,37.64,40.73,40.6,36.72,33.14,29.12,22.53,17.98,15.76,12.89,13.88,19.75,28.95,35.45,41.98,47.64,52.22,53.64,52.92,53.55,53.08
Europe,9.95,11.99,14.87,18.72,23.52,34.18,42.3,47.4,58.87,67.78,69.28,72.8,70.99,63.53,51.93,43.81,35.05,27.99,23.13,20.64,20.04,18.13,18.2
North America,54.57,47.27,42.98,36.17,31.87,25.83,21.69,20.89,16.62,12.47,12.51,10.39,10.9,12.63,14.57,15.35,16.57,17.23,16.08,15.7,15.86,16.44,16.48
South America,0.62,0.57,0.55,0.52,0.48,0.36,0.29,0.23,0.17,0.13,0.11,0.13,0.16,0.24,0.45,0.71,1.03,1.27,1.84,2.26,2.64,3.09,3.98
Oceania,3.01,2.75,2.69,2.61,2.36,1.89,1.59,1.45,1.07,0.82,1.2,2.16,2.32,2.56,2.12,2.05,1.98,1.91,1.83,2.22,2.58,2.75,2.74
Middle East,0.08,0.06,0.05,0.04,0.03,0.06,0.05,0.05,0.06,0.25,0.43,0.54,0.45,0.49,0.69,0.73,0.86,0.89,1.07,1.58,1.79,1.84,1.77
Africa,0.89,0.88,0.9,0.88,0.83,0.7,0.65,0.6,0.47,0.4,0.52,0.91,1.04,0.54,1.05,1.31,1.58,1.81,1.83,1.91,2.08,2.04,1.74
Eurasia,0.01,0.03,0.05,0.06,0.07,0.07,0.06,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.1,0.36,0.72,1.47,1.49,1.53,1.56,1.52
Central America and the Caribbean,0.26,0.27,0.27,0.26,0.24,0.19,0.22,0.2,0.16,0.14,0.17,0.17,0.25,0.24,0.23,0.48,0.59,0.54,0.52,0.57,0.56,0.6,0.49
