Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.03,28.16,1.27,2.68,1.0,2.23,3.8,-0.4,16.9,10.14,12.8,15.09
Albania,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.23,0.15,0.11,0.16,0.24,-0.07,-0.16,0.13,20.87,10.07,8.5,120.12
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,103.02,90.11,-0.69,7.19,-4.77,177.14,53.9,261.66,23.38,105.07,-23.0,42.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,1.01,-0.06,0.13,3.7,1.55,0.24,-0.54,-0.89,-0.97,-1.48
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.02,0.25,0.05,0.16,0.22,0.32,0.34
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.43,0.0,0.01,0.13,0.02,1.32,0.01,0.1,403.3
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.79,0.6,0.97,-0.1,-0.33,0.64,1.14,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.31,0.0,0.16,0.0,4.73,0.09,1.02,3.78,3.47,3.26,4.85,1.58
Argentina,0.0,0.01,0.02,0.0,0.01,0.01,0.02,0.03,-0.06,0.01,1.52,6.58,6.97,0.78,-1.12,-0.42,2.16,91.71,692.68,544.66,858.26,737.67
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.23,19.0,4.2,32.9,107.0,360.0
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.26,0.79,1.14,3.43,3.95,2.06,1.06,6.63,6.59,0.0,0.0,0.0
Australia,6.0,6.0,9.0,10.0,10.0,12.0,18.0,18.0,33.0,229.0,1002.0,934.0,1150.0,535.0,1013.0,1186.0,1862.0,1859.0,4918.0,6186.0,6683.0,6970.0
Austria,2.11,3.69,5.66,3.74,2.59,1.37,1.85,5.88,18.8,39.89,85.26,163.41,288.49,159.28,151.85,158.92,172.95,186.16,246.96,340.84,739.67,1009.1
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.26,-0.19,0.0,0.6,2.11,1.66,30.68,1.95,2.1,4.9,2.8,8.2,5.7
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.16,0.15,0.17,0.32,0.3,1.22,0.37,0.46,0.12,0.08,1.16,1.41,4.29,7.86
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,7.0,0.0,21.0,44.0
Bangladesh,0.0,0.06,0.78,1.06,1.49,2.03,3.62,6.16,9.89,19.2,79.34,32.34,38.32,37.2,34.42,-45.99,71.6,23.45,59.05,84.88,153.77,251.74
Barbados,0.16,0.0,0.0,0.0,0.15,0.0,0.62,0.0,0.31,0.31,1.09,0.78,0.93,5.75,3.89,0.02,10.34,1.79,13.06,24.8,23.86,20.51
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,5.62,20.62,60.91,88.0,4.0,-5.0,-2.2,34.8
Belgium,0.0,0.0,0.0,0.66,0.68,0.28,4.44,35.33,124.62,393.99,609.0,979.0,496.0,242.3,170.2,38.7,212.7,595.5,349.1,859.7,505.9,1257.9
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.33,0.04,-0.18,-0.42,0.57,0.57,8.27,0.33,-3.02,0.83
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,2.32,0.71,0.3,0.19,1.52,1.32,1.48,3.01
Bhutan,0.0,0.0,0.0,0.0,0.18,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
Bolivia,0.04,0.03,0.07,0.05,0.01,0.1,0.14,0.37,0.16,0.06,0.17,0.27,0.54,2.01,0.68,0.86,1.22,120.54,60.09,62.47,100.54,1.01
"Bonaire, Sint Eustatius and Saba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,2.4,1.5,4.1,0.7,-1.1,0.9,-0.9
Bosnia and Herzegovina,0.0,0.0,0.12,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.14,6.76,1.17,14.13,-2.61,0.0,9.0,15.0,27.0,42.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.21,0.05,0.8,1.29,0.51,0.44,1.91,0.23,0.52,-0.05,0.0,0.24,-0.02
Brazil,0.06,0.0,0.55,0.55,0.0,0.0,0.0,0.02,0.05,0.03,4.21,-2.14,2.63,11.29,45.44,29.07,749.21,2632.17,3193.17,4093.77,6003.94,13374.18
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.05,0.09,1.3,0.07,0.02,0.07,0.09,0.37,0.39
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,0.05,0.02,-0.07,-0.31,-0.22,0.48,0.02,-0.51,0.03,0.01,-0.01
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.11,3.1,11.6,85.99,677.84,613.29,-135.34,125.01,6.33,14.98,-60.18,74.5,51.43,-2.12,627.24
Burkina Faso,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.9,0.8,1.5,0.6,9.95,69.64,6.55,-0.89,2.42,0.17
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.01,0.02,0.46,1.24,0.54,0.02,0.06,0.22,-0.84,-0.24
