Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,25.17,14.71,17.48,21.57,21.44,19.46,14.71,18.18,21.95,18.91,20.82,15.49,15.61,14.66,10.68,9.75,14.78,13.04,16.74,25.81,28.4,27.37,0.0
Burundi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.11,88.46,91.76,98.12,88.12,85.44,86.11,88.3,84.06,82.35,77.42,70.28,61.3,0.0
Cabo Verde,3.11,2.16,3.16,2.7,2.94,2.73,2.97,2.56,1.93,1.58,1.21,7.04,19.01,21.28,22.21,20.27,18.6,17.64,20.8,18.66,16.82,18.27,0.0
Cambodia,7.1,5.45,5.35,6.43,3.89,5.05,4.9,4.23,3.6,4.63,4.22,6.77,37.56,58.14,61.54,49.53,48.21,42.4,59.25,48.86,49.43,58.95,0.0
Cameroon,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.38,94.0,89.31,88.31,87.98,85.93,80.89,80.49,77.75,77.76,79.26,79.27,79.27,79.27,79.27,0.0
Canada,60.62,58.05,59.9,58.93,58.46,59.85,59.55,60.26,61.35,62.98,61.26,62.47,63.64,64.06,63.16,64.06,64.9,66.54,65.92,65.84,67.09,67.45,0.0
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.29,2.14,2.28,2.69,2.94,0.0
Central African Republic,99.71,99.71,99.71,99.71,99.8,99.82,99.82,99.82,99.8,99.82,99.82,99.82,99.82,99.82,99.84,99.72,95.63,96.47,96.47,96.47,96.47,96.47,0.0
Chad,6.6,6.97,7.06,6.54,6.0,6.92,6.92,6.1,6.32,6.9,6.86,6.61,6.72,6.86,6.97,2.8,5.35,5.39,5.46,5.46,5.57,5.59,0.0
Chile,49.01,54.62,55.83,50.91,47.55,54.47,55.79,44.7,46.23,49.36,40.57,39.71,36.65,35.87,43.02,43.62,43.37,44.01,46.28,45.94,48.74,48.89,0.0
China,16.45,18.78,17.46,14.9,16.1,16.04,15.44,15.12,17.49,17.62,18.54,16.61,19.94,19.99,22.47,23.75,24.78,24.96,25.27,26.46,27.63,28.18,0.0
"China, Hong Kong SAR",0.0,0.0,0.0,0.0,0.2,0.19,0.18,0.24,0.15,0.19,0.21,0.23,0.22,0.2,0.23,0.21,0.38,0.39,0.4,0.43,0.55,0.84,0.0
Chinese Taipei,3.03,3.41,2.21,2.31,2.33,2.64,2.64,2.77,2.82,2.73,2.86,2.93,3.62,3.66,3.18,3.4,4.18,3.96,3.94,4.9,4.78,5.37,0.0
Colombia,72.98,73.04,74.98,77.05,79.38,78.56,73.28,74.2,76.27,65.93,64.07,74.75,71.84,65.15,63.35,61.36,64.67,78.34,74.45,69.83,65.02,75.38,0.0
Comoros,0.0,0.0,10.04,12.58,12.19,11.65,12.49,9.65,10.42,9.73,7.29,8.01,7.89,8.18,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,99.02,99.96,99.87,86.76,84.17,83.08,83.25,83.46,82.42,65.93,57.3,62.1,58.82,54.19,48.41,43.97,41.42,42.81,40.64,40.66,40.66,40.66,0.0
Cook Islands,0.31,0.29,0.27,0.26,0.34,0.33,0.25,0.23,0.23,0.23,0.22,0.23,0.23,2.9,4.4,10.55,13.63,15.99,24.22,25.06,26.21,21.14,0.0
Costa Rica,99.09,98.58,98.39,97.95,99.19,96.72,93.84,92.01,92.85,95.15,93.26,91.16,91.77,88.21,89.71,98.99,98.22,99.67,98.61,99.16,99.8,99.98,0.0
Cote d'Ivoire,36.9,36.88,32.74,36.16,32.54,25.9,27.39,32.79,33.65,36.94,27.61,29.58,25.9,21.32,23.44,15.86,15.16,20.57,29.61,24.69,23.15,18.72,0.0
Croatia,57.21,56.06,45.82,41.18,54.56,53.65,50.95,37.32,45.31,55.62,62.4,46.5,48.93,66.01,73.31,65.86,65.24,59.38,71.75,65.41,63.88,69.22,0.0
Cuba,6.81,6.5,6.59,5.31,5.54,3.14,3.0,3.0,3.93,3.85,3.22,3.22,3.71,4.43,4.02,3.95,3.96,3.83,3.63,4.25,4.83,5.12,0.0
Curacao,0.99,8.8,8.65,8.52,8.55,8.38,8.52,8.42,7.54,7.21,7.26,7.0,9.11,17.36,20.48,16.25,14.32,19.94,28.32,27.11,24.55,19.47,0.0
Cyprus,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.06,0.29,0.6,1.37,3.62,5.45,7.63,7.3,8.81,8.69,8.7,9.43,10.01,12.3,15.13,0.0
Czechia,3.11,3.45,3.93,2.26,3.25,3.79,4.17,3.87,4.46,5.66,6.87,8.29,9.23,10.71,10.65,11.23,11.27,11.06,10.71,11.57,12.74,12.59,0.0
DR Congo,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.51,99.9,99.9,98.17,99.31,99.16,98.92,99.13,99.07,99.04,0.0
Democratic People's Republic of Korea,52.58,52.48,55.84,59.74,60.68,60.99,56.04,56.32,55.24,53.19,56.54,62.56,62.8,62.57,61.37,52.71,53.64,50.73,51.5,46.34,53.44,63.24,0.0
Denmark,15.46,15.49,17.28,17.49,23.54,27.07,20.17,26.21,27.57,27.66,31.98,40.25,48.33,45.96,55.88,65.43,60.22,70.26,68.36,78.17,81.61,78.96,0.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.12,0.5,0.28,0.68,1.01,1.08,0.66,0.48,35.35,0.0
Dominica,40.85,33.49,45.24,37.19,42.69,33.45,32.69,25.58,24.27,25.71,24.04,36.29,27.02,37.05,30.56,23.52,33.1,32.45,37.71,22.27,20.38,20.28,0.0
Dominican Republic,7.91,6.59,7.75,10.35,14.1,15.08,13.3,12.33,10.23,11.41,10.38,10.45,11.86,12.71,9.63,7.78,11.27,15.29,13.98,12.37,15.56,16.96,0.0
Ecuador,71.72,63.99,63.3,62.19,58.92,52.12,48.13,53.4,61.82,51.71,45.49,55.56,54.87,48.99,49.18,52.56,60.21,73.69,72.58,78.14,79.74,81.0,0.0
Egypt,20.03,19.82,15.9,13.63,13.07,12.03,11.62,11.04,12.28,11.01,9.56,9.36,9.26,8.76,8.41,8.31,8.64,8.41,8.09,8.98,12.13,12.33,0.0
El Salvador,57.89,55.67,52.74,58.56,55.91,59.44,58.71,56.97,63.09,57.07,65.65,63.53,60.62,60.79,60.17,58.39,58.06,74.79,77.91,71.51,84.78,86.01,0.0
Equatorial Guinea,4.05,4.12,4.12,4.12,4.05,4.05,4.05,2.3,2.3,2.3,2.3,2.3,8.1,14.32,14.32,14.32,13.12,12.12,11.97,11.97,11.97,11.95,0.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.7,0.68,0.65,0.6,0.57,0.57,4.23,4.05,4.39,5.24,5.34,5.34,5.34,5.01,0.0
