Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Renewable hydropower,2614567.1,2551854.88,2620288.92,2620700.02,2797291.39,2912745.74,3024562.81,3062050.49,3208968.84,3261426.23,3428368.36,3493733.0,3680086.86,3789850.27,3893169.49,3894991.98,4037459.34,4087703.67,4208483.36,4253382.82,4369055.0,4296551.04,4330106.89
Wind,30944.47,37739.96,52423.9,63390.16,84097.63,103224.4,129518.19,168893.87,216884.95,272028.8,342840.29,433781.08,526112.58,636479.68,712130.47,827885.66,952943.69,1131754.92,1258925.98,1412635.71,1588318.71,1840364.15,2098332.16
Solar,1312.13,1677.52,1949.74,2366.46,3059.68,4375.43,5988.64,8072.32,12743.47,20936.06,33748.99,65600.55,101650.8,137356.61,192590.23,252257.79,324785.59,437503.95,560024.7,689891.2,835673.96,1030559.35,1294470.19
Bioenergy,146270.5,146317.87,159988.82,172211.4,187810.28,209005.61,221684.43,244829.78,262969.41,281151.06,316689.28,334580.3,369996.28,396571.36,428095.75,455087.66,469808.33,492012.17,515837.26,545168.23,568553.65,609546.19,618915.82
Geothermal,52571.04,51678.62,52604.68,53775.78,56060.82,58466.67,59769.35,62668.88,65262.18,67289.73,68436.18,69796.18,70876.7,72408.02,77343.67,81228.85,83240.84,87051.64,89464.19,92001.02,95444.69,94653.53,96878.35
Marine,546.77,524.39,533.89,530.83,508.63,516.35,490.72,496.02,487.85,486.92,514.32,513.46,498.35,925.99,999.16,1008.0,1043.85,1049.09,1022.42,996.03,985.12,971.36,956.79
