Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burkina Faso,98.27,53.78,63.76,95.89,101.66,100.67,80.87,111.62,136.13,132.5,117.84,82.35,97.95,107.79,93.62,98.26,144.89,144.28,177.44,197.86,204.05,221.57,176.53
Burundi,105.89,119.44,131.28,107.28,97.93,105.47,160.13,204.03,218.35,207.28,134.49,146.12,152.84,173.66,186.61,180.33,184.23,191.41,248.67,271.97,279.04,264.33,264.09
Cabo Verde,4.55,3.75,5.66,5.37,6.43,6.45,7.44,6.87,5.51,4.66,4.1,24.56,70.49,83.26,89.21,85.02,82.57,74.93,89.35,82.78,70.52,80.67,146.02
Cambodia,40.14,30.27,29.56,40.99,28.94,44.45,53.64,58.62,59.53,66.07,50.85,86.9,563.04,1071.42,1944.5,2279.09,2694.49,2854.08,4909.16,4296.04,4299.48,5795.25,6704.94
Cameroon,3442.0,3474.0,3182.0,3528.96,3729.5,3772.46,3892.15,3847.43,3847.59,4232.89,4016.97,4260.86,4386.07,4256.72,4373.35,4373.44,4359.49,4768.49,5049.69,5043.92,5251.47,5268.88,5268.99
Canada,367453.0,342706.0,360424.0,347672.0,350922.0,371727.0,363469.0,378433.0,388419.0,383250.0,369421.0,395604.0,402139.0,421055.0,415802.0,421115.0,431229.0,440737.0,433830.0,429140.0,436362.0,435027.0,449266.0
Cayman Islands,,,,,,,,,,,,,,,,,2.25,9.39,15.34,18.61,20.99,23.11,23.3
Central African Republic (the),85.66,84.66,84.66,85.66,126.66,135.66,141.66,138.66,126.66,139.66,140.66,141.66,141.66,141.66,140.92,138.63,131.69,141.69,141.69,141.69,141.69,141.69,141.69
Chad,6.6,7.0,7.1,7.32,6.68,7.78,7.78,7.8,8.1,8.9,8.84,8.5,8.65,8.84,9.0,9.36,18.39,17.86,18.02,16.38,18.25,19.62,20.1
Chile,19819.0,23403.0,24576.0,24146.0,24623.0,28885.0,31160.0,26370.0,27793.0,30196.0,24634.0,26105.86,25619.9,26235.0,30508.1,32917.57,34484.46,35048.12,38159.78,39463.62,41042.63,43567.97,50548.91
