Region/country/area,2021,Percentage Change
China,189667.72,28.881716990977107
USA,40995.72,10.709044078847691
Brazil,15235.98,21.077365209685198
Türkiye,6608.53,21.021670497109273
Spain,5617.0,9.050772626931568
Australia,4139.0,16.869777868351335
Argentina,3525.22,27.247971988514053
Netherlands,2727.12,15.146585503350488
Italy,2165.74,10.348874436740525
Chile,2025.8,26.557071878973794
Norway,1856.65,15.775525567626634
Russia,1496.43,51.64698248786852
Mexico,1373.48,6.51714577598818
Viet Nam,1240.64,51.84021393949525
Greece,1172.88,11.188421612938306
Egypt,1024.0,19.43280500394729
Pakistan,977.0,28.068502084308932
Portugal,916.95,6.938385742315338
Kazakhstan,699.71,39.38899240603239
Morocco,514.78,10.050547549644566
Japan,459.0,4.867960547247852
Poland,433.5,2.670395569668988
Croatia,341.1,16.54379668251043
New Zealand,337.0,12.755488266464798
Thailand,332.9,9.371129377322372
Sri Lanka,313.5,48.5895846249225
Philippines,252.33,19.15581704308218
Finland,251.05,2.951192761495898
Ethiopia,208.16,25.47234459128732
Jordan,183.1,11.515723270440251
Dominican Republic,129.51,10.521142207238311
Bosnia and Herzegovina,120.0,31.413612565445025
El Salvador,117.66,89.28517225679163
Costa Rica,113.85,7.236336132103655
Serbia,108.91,10.042045475501133
Nicaragua,105.91,16.14875579409612
Mongolia,105.8,18.758532650130316
Djibouti,69.4,100.0
Honduras,67.46,8.6700596339708
Kuwait,65.91,93.25127334465193
Bolivia,55.41,46.32168533690018
Colombia,49.88,83.13333333333334
Kosovo,36.02,28.514882837238765
Guadeloupe,33.79,31.67416572928384
Republic of Korea,32.0,1.0053408733898836
Kenya,31.42,37.94685990338165
Moldova,26.0,33.76623376623377
Puerto Rico,22.99,13.875309312571668
Oman,14.79,12.437978302918173
Guatemala,11.12,3.434218653489808
Cabo Verde,9.85,13.350501490918948
Hungary,9.0,1.355421686746988
Peru,8.48,0.46527450098212425
Faroe Islands,7.0,12.939001848428836
Martinique,6.99,14.356130622304375
Cyprus,6.07,2.4626744563453427
Montenegro,4.7,1.4682911590128085
"Bonaire, Sint Eustatius and Saba",3.8,13.212795549374128
Algeria,3.0,27.27272727272727
Slovakia,1.0,20.0
Switzerland,1.0,0.684931506849315
Dominica,0.59,49.57983193277311
United Arab Emirates,0.04,100.0
Paraguay,0.02,50.0
Greenland,-0.06,-200.0
"China, Hong Kong SAR",-0.2,-24.096385542168676
Armenia,-0.4,-26.666666666666668
Iceland,-0.57,-9.35960591133005
Slovenia,-0.66,-11.806797853309483
Bhutan,-0.72,-184.6153846153846
Fiji,-0.85,-293.1034482758621
Falkland Islands (Malvinas),-0.9,-21.176470588235293
Seychelles,-0.91,-17.913385826771655
Vanuatu,-1.49,-36.077481840193705
Mauritius,-2.6,-16.883116883116884
Azerbaijan,-4.7,-5.142231947483589
Georgia,-7.4,-8.872901678657074
New Caledonia,-7.52,-18.323586744639375
Réunion,-9.2,-213.953488372093
North Macedonia,-13.54,-13.102380491581187
Uzbekistan,-14.3,-1191.6666666666667
Ecuador,-15.09,-24.334784712143204
Jamaica,-16.87,-6.376866376866378
Belarus,-21.0,-12.138728323699421
Israel,-26.0,-14.606741573033707
South Africa,-33.5,-12.593984962406015
Latvia,-35.4,-25.028280542986426
Luxembourg,-36.83,-11.71773090261207
Tunisia,-39.9,-9.386026817219477
Bulgaria,-43.57,-3.039286810457881
Curacao,-44.61,-31.74862999074799
Austria,-51.49,-0.7639420537563575
Panama,-53.96,-10.17652383826192
Czechia,-97.55,-16.216980034246006
Chinese Taipei,-100.0,-4.526935264825712
Estonia,-111.0,-15.143246930422919
Lithuania,-190.0,-13.953146801791878
Denmark,-275.74,-1.7175278909861245
Sweden,-282.0,-1.03509029511085
Romania,-369.91,-5.625537027320909
Uruguay,-484.19,-9.700659746639658
Belgium,-821.0,-6.843035273721411
Canada,-1008.0,-2.9004690242568985
India,-1249.78,-2.0069539546200823
Ireland,-1773.51,-18.141635919315952
France,-3029.95,-8.226551565446284
UK,-10953.0,-16.938851257307228
Germany,-17455.0,-15.224994984604917
