Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Asia,513367.43,568354.63,575279.9,592594.66,675299.88,718107.91,795309.8,839891.66,952166.83,973137.73,1093343.27,1106404.76,1296561.92,1359383.81,1517334.27,1573781.42,1642577.48,1688396.93,1733601.28,1796451.51,1875449.14,1868553.27,1905018.48
South America,534839.06,501356.68,524837.07,547519.11,568870.46,601152.86,628155.87,650432.49,652601.64,671355.68,670977.41,713836.09,697958.82,681229.98,658181.64,643125.9,657138.73,675242.75,690791.92,683324.63,668441.81,639988.65,709532.77
North America,645024.5,550237.22,642717.5,636121.68,637354.84,662280.94,675366.8,644751.8,673565.62,671224.23,651043.0,734004.0,690967.56,690985.5,683225.36,664410.86,686162.91,729280.4,714300.79,695655.81,700893.5,670631.6,690535.65
Europe,572843.05,577714.28,518635.38,484574.61,513726.5,525076.31,510787.71,519425.49,550918.47,544934.84,586887.34,509219.66,561415.03,595251.42,596242.91,562626.6,578250.95,520357.95,578138.4,534132.18,575392.76,585685.23,486360.17
Eurasia,204431.31,206559.31,207119.45,202912.6,233573.27,224143.15,228653.54,225268.48,210689.56,223355.23,235124.58,232708.62,235914.48,253694.83,228819.33,248689.27,266664.94,257669.42,266329.71,297605.92,302691.38,284686.77,282015.8
Africa,76120.74,82806.9,80875.35,82676.76,87309.65,94347.74,96305.55,94886.34,98920.34,105356.41,109759.82,110361.35,112258.42,118374.34,122284.17,121307.39,118245.63,125566.71,135415.49,142110.58,148310.89,155558.25,160505.16
Oceania,42830.35,40211.7,42622.19,41635.72,45148.2,40440.63,41369.3,40062.8,36407.15,38030.45,40146.0,43748.63,38936.08,43278.02,44425.59,39624.31,42720.51,43036.01,44008.3,43269.17,41123.19,41178.62,44787.11
Central America and the Caribbean,17105.06,15144.36,16300.24,17043.2,19561.15,20690.92,20769.78,20657.92,22140.84,21034.22,23274.34,23005.82,24734.46,24295.43,23256.78,23821.5,24552.86,29717.4,27187.96,23126.98,28784.56,31795.23,33542.66
Middle East,8005.6,9469.8,11901.84,15621.68,16447.44,26505.28,27844.46,26673.5,11558.4,12997.46,17812.6,20444.08,21340.09,23356.95,19399.43,17604.73,21145.33,18436.12,18709.51,37706.03,27967.78,18473.43,17809.1
