Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa,19.05,19.49,17.96,17.29,16.33,17.6,17.59,16.8,17.26,17.84,17.78,17.51,17.21,17.74,18.07,17.98,18.17,18.8,19.86,20.66,22.31,22.74,0.0
Asia,13.57,14.31,13.66,13.12,13.67,13.59,13.89,13.58,14.96,15.0,15.58,15.08,17.03,17.3,19.0,19.72,20.55,21.19,21.69,22.7,23.94,24.68,0.0
Central America and the Caribbean,22.38,20.1,20.41,20.56,23.0,23.17,22.59,22.09,23.69,23.05,25.04,24.53,26.41,26.79,26.63,27.86,29.17,33.61,34.4,31.3,35.87,38.03,0.0
Eurasia,18.92,18.96,18.86,17.96,20.21,18.81,18.26,17.57,16.03,17.81,17.95,17.42,17.37,18.91,16.86,18.42,19.64,19.08,20.86,23.34,24.77,25.15,0.0
Europe,18.09,18.07,16.71,15.89,17.06,17.73,17.76,18.71,20.16,21.87,23.11,23.14,26.12,28.71,30.5,31.27,31.64,31.88,34.19,35.64,40.16,39.27,0.0
Middle East,1.73,1.95,2.29,2.83,2.81,4.2,4.16,3.68,1.52,1.63,2.07,2.32,0.89,2.43,1.96,1.78,2.14,1.93,2.12,3.91,3.49,2.99,0.0
North America,15.18,13.7,15.22,15.01,14.83,15.02,15.45,14.83,15.69,16.72,16.29,18.35,18.31,19.07,19.43,19.64,21.07,22.98,22.54,23.27,25.47,25.56,0.0
Oceania,18.71,16.79,17.53,17.7,18.55,17.87,18.31,17.74,17.17,17.47,18.65,20.42,20.06,22.49,24.36,23.45,24.71,25.25,26.66,28.59,30.66,34.26,0.0
South America,77.12,74.47,75.68,75.49,73.89,75.23,74.63,73.93,71.51,73.41,70.34,72.3,68.13,64.69,63.2,62.83,65.59,67.59,69.34,69.57,71.77,69.33,0.0
