Taxes,2007 June,2007 December,2008 June,2008 December,2009 June,2009 December,2010 June,2010 December,2011 June,2011 December,2012 June,2012 December,2013 June,2013 December,2014 June,2014 December,2015 June,2015 December,2016 June,2016 December,2017 June,2017 December,2018 June,2018 December,2019 June,2019 December,2020 June,2020 December,2021 June,2021 December,2022 June,2022 December,2023 June
All taxes and levies included,0.1826,0.1537,0.1604,0.1676,0.167,0.1677,0.1725,0.1777,0.1858,0.1886,0.1916,0.1996,0.2042,0.2062,0.2058,0.2084,0.2083,0.2089,0.2051,0.2069,0.2086,0.2087,0.21,0.2149,0.2168,0.2168,0.2131,0.2132,0.2203,0.2369,0.2525,0.284,0.289
Excluding VAT and other recoverable taxes and levies,0.1523,0.1299,0.1366,0.1429,0.1424,0.1429,0.1467,0.1506,0.1573,0.1596,0.1619,0.1683,0.1719,0.1736,0.1737,0.1761,0.1762,0.1764,0.1728,0.1744,0.1759,0.1761,0.177,0.1812,0.1829,0.1833,0.1803,0.1814,0.1864,0.2026,0.2195,0.2471,0.2484
Excluding taxes and levies,0.1159,0.109,0.1103,0.1152,0.116,0.1163,0.1181,0.1226,0.1269,0.1281,0.1293,0.1333,0.1326,0.1338,0.1303,0.1331,0.131,0.1312,0.1257,0.1276,0.1271,0.127,0.1286,0.1329,0.1282,0.128,0.1269,0.1282,0.1341,0.1515,0.1934,0.2401,0.2335
